transfer_family,r0_over_target,initial_velocity_angle_deg,thrust_scale,crossing_occurs,phase34_compatible_crossing,recoverable_crossing,min_abs_radius_error_ratio,best_crossing_potential,closest_approach_step,crossing_vr_ratio,crossing_vt_error_ratio,crossing_sync_error,dominant_failure_label,termination_reason,simulator_success_label
baseline_phase34,0.98,170.0,8000.0,False,False,False,0.019940763259360676,0.819203263836878,100000,,,,near_crossing,max_steps,False
grazing_corridor,0.98,170.0,8000.0,False,False,False,0.019950687260848827,0.8202707290723384,7028,,,,near_crossing,max_steps,False
redesigned_delayed_crossing,0.98,170.0,8000.0,False,False,False,0.01998907686490534,0.8211451401525276,1425,,,,near_crossing,max_steps,False
spiral_approach,0.98,170.0,8000.0,False,False,False,0.019954480226508985,0.8224131923392557,99999,,,,near_crossing,max_steps,False
baseline_phase34,1.02,170.0,8000.0,False,False,False,0.02,0.6955907540927446,1,,,,over_conservative_transfer,max_steps,False
grazing_corridor,1.02,170.0,8000.0,False,False,False,0.019950931976765496,0.820668004795097,7028,,,,near_crossing,max_steps,False
redesigned_delayed_crossing,1.02,170.0,8000.0,False,False,False,0.019989396143657162,0.8198709191525783,1423,,,,near_crossing,max_steps,False
spiral_approach,1.02,170.0,8000.0,False,False,False,0.019954614613921746,0.8184365589201591,100000,,,,near_crossing,max_steps,False
baseline_phase34,0.98,170.0,10000.0,False,False,False,0.019926029337891928,0.8185252453084171,100000,,,,near_crossing,max_steps,False
grazing_corridor,0.98,170.0,10000.0,False,False,False,0.01991743084615039,0.8202707249201405,99999,,,,near_crossing,max_steps,False
redesigned_delayed_crossing,0.98,170.0,10000.0,False,False,False,0.019962187827534634,0.821148390832961,99999,,,,near_crossing,max_steps,False
spiral_approach,0.98,170.0,10000.0,False,False,False,0.01996475009926927,0.8217989995581466,100000,,,,near_crossing,max_steps,False
baseline_phase34,1.02,170.0,10000.0,False,False,False,0.02,0.6955907540927446,1,,,,over_conservative_transfer,max_steps,False
grazing_corridor,1.02,170.0,10000.0,False,False,False,0.019917766246197264,0.8207331457385937,100000,,,,near_crossing,max_steps,False
redesigned_delayed_crossing,1.02,170.0,10000.0,False,False,False,0.019940099847244663,0.8198314913161251,100000,,,,near_crossing,max_steps,False
spiral_approach,1.02,170.0,10000.0,False,False,False,0.019946484819135288,0.8178666481933049,100000,,,,near_crossing,max_steps,False
baseline_phase34,0.98,175.0,8000.0,False,False,False,0.0199408607793681,0.8200178637850888,100000,,,,near_crossing,max_steps,False
grazing_corridor,0.98,175.0,8000.0,False,False,False,0.01995074882154388,0.8202704481670207,7028,,,,near_crossing,max_steps,False
redesigned_delayed_crossing,0.98,175.0,8000.0,False,False,False,0.019989156551555077,0.8210900043480752,1425,,,,near_crossing,max_steps,False
spiral_approach,0.98,175.0,8000.0,False,False,False,0.01995455188676862,0.8215807617203787,99999,,,,near_crossing,max_steps,False
baseline_phase34,1.02,175.0,8000.0,False,False,False,0.02,0.6984535440274389,1,,,,over_conservative_transfer,max_steps,False
grazing_corridor,1.02,175.0,8000.0,False,False,False,0.019950871635216406,0.8196223705712864,7028,,,,near_crossing,max_steps,False
redesigned_delayed_crossing,1.02,175.0,8000.0,False,False,False,0.01998931803510521,0.8194368211621124,1423,,,,near_crossing,max_steps,False
spiral_approach,1.02,175.0,8000.0,False,False,False,0.01995454628578789,0.8179969114420538,100000,,,,near_crossing,max_steps,False
baseline_phase34,0.98,175.0,10000.0,False,False,False,0.019926124983708073,0.8198746747332166,100000,,,,near_crossing,max_steps,False
grazing_corridor,0.98,175.0,10000.0,False,False,False,0.019917479114636327,0.820270504668673,99999,,,,near_crossing,max_steps,False
redesigned_delayed_crossing,0.98,175.0,10000.0,False,False,False,0.019962250697833726,0.8210900497460326,99999,,,,near_crossing,max_steps,False
spiral_approach,0.98,175.0,10000.0,False,False,False,0.019964809935002343,0.8218367343802415,100000,,,,near_crossing,max_steps,False
baseline_phase34,1.02,175.0,10000.0,False,False,False,0.02,0.6984535440274389,1,,,,over_conservative_transfer,max_steps,False
grazing_corridor,1.02,175.0,10000.0,False,False,False,0.019917718933770704,0.8196390539492504,100000,,,,near_crossing,max_steps,False
redesigned_delayed_crossing,1.02,175.0,10000.0,False,False,False,0.019940038257198048,0.8194093319737662,100000,,,,near_crossing,max_steps,False
spiral_approach,1.02,175.0,10000.0,False,False,False,0.01994642607368698,0.8177009875109399,100000,,,,near_crossing,max_steps,False
