controller_name,r0_over_target,initial_velocity_angle_deg,thrust_scale,target_radius_scale,success,capture_entered,lock_entered,crossing_occurs,crossing_vr,crossing_vt_error,crossing_vr_ratio,crossing_vt_error_ratio,crossing_radius_error,recoverable_crossing,crossing_score,recoverability_score,near_miss,radius_crossings_total,first_crossing_step,minimum_abs_radius_error,final_radius_error,tail_mean_abs_vr,steps,terminated,truncated,termination_reason,dominant_planner_mode,planner_mode_counts_json,initial_energy_error_ratio,final_energy_error_ratio,initial_angular_momentum_error_ratio,final_angular_momentum_error_ratio,mean_energy_error_ratio,mean_angular_momentum_error_ratio,mean_crossing_score,mean_recoverability_score,initial_angular_momentum_ratio,final_angular_momentum_ratio,max_speed_ratio,overspeed,turning_point_count,burn_steps,coast_steps,burn_ratio,transfer_burn_count,safety_coast_steps,classification_counts_json
baseline_soft_linear_3e4,1.0,150.0,12000.0,1.0,True,True,True,True,-39.80874820360246,-4852.3106761866475,-0.009462129762191896,-1.1533443108967762,-1244.0107421875,False,0.9340300045979194,0.03135376273812549,False,4,55,51.9462890625,217.6943359375,21.73237089833826,270,True,False,success,soft_window,"{""soft_window"": 55}",0.0,5.8064900861706823e-11,-0.1339745962155613,5.10702591327572e-15,,,0.9340300045979194,0.03135376273812549,0.8660254037844387,1.000000000000005,1.0000000000000049,False,0,0,0,0.0,0,,{}
baseline_soft_linear_3e4,1.02,150.0,12000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,150000125183.22852,150024760502.80078,415.61731552270584,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",0.01960784313725499,0.9216906343845764,-0.14250707428745557,-0.8287966577755773,,,,,0.8574929257125444,0.17120334222442266,0.5950953686791332,False,0,0,0,0.0,0,,{}
baseline_soft_linear_3e4,1.05,150.0,12000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,374726998120.56445,374727036567.166,414.4369643322249,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",0.04761904761904765,0.8599698975241604,-0.15484574527148331,-0.816415861349129,,,,,0.8451542547285167,0.18358413865087095,0.5808479001694785,False,0,0,0,0.0,0,,{}
baseline_soft_linear_3e4,0.98,165.0,12000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,149761475838.2578,149761475838.2578,217.67228592638764,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",0.020408163265306076,1.009589035548744,-0.024267568725401145,-0.8296418556332603,,,,,0.9757324312745989,0.1703581443667397,0.6151003820960751,False,0,0,0,0.0,0,,{}
baseline_soft_linear_3e4,1.0,165.0,12000.0,1.0,True,True,True,True,-49.89490215814327,-3804.1918098357014,-0.011859504757034702,-0.904217242924399,-3756.763671875,False,0.7376052005488627,0.020534347013872814,False,1,47,861.8408203125,1917.5859375,12.276941494087875,260,True,False,success,soft_window,"{""soft_window"": 47}",2.104654818683916e-16,5.113431463687706e-10,-0.03407417371093191,4.884981308350689e-15,,,0.7376052005488627,0.020534347013872814,0.9659258262890681,1.0000000000000049,1.0000000000000049,False,0,0,0,0.0,0,,{}
baseline_soft_linear_3e4,1.02,165.0,12000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,150000064799.59863,150019903121.16992,215.2844167433694,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",0.019607843137254777,0.9222042531443442,-0.04359091640216495,-0.8103000766065193,,,,,0.956409083597835,0.18969992339348077,0.5950953816829558,False,0,0,0,0.0,0,,{}
baseline_soft_linear_3e4,1.05,165.0,12000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,374865589284.35547,374865609250.27637,213.80999930514116,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",0.04761904761904765,0.8604549772793049,-0.057352915661626036,-0.796517044517119,,,,,0.942647084338374,0.20348295548288095,0.5808479124408409,False,0,0,0,0.0,0,,{}
baseline_soft_linear_3e4,0.98,170.0,12000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,149837578438.94922,149837578438.94922,147.0267319398061,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",0.020408163265306496,1.0097853778321344,-0.005193942399973062,-0.826751467391466,,,,,0.9948060576000269,0.17324853260853407,0.6151003870707793,False,0,0,0,0.0,0,,{}
baseline_soft_linear_3e4,1.0,170.0,12000.0,1.0,True,True,True,True,-59.11783526958399,-2644.140708489538,-0.014051701041181388,-0.628485034627588,-4974.4609375,False,0.5196500696147496,0.011302579212861713,False,1,19,567.279296875,2772.2412109375,6.334229874531584,231,True,False,success,soft_window,"{""soft_window"": 19}",2.104654818683916e-16,7.392509550470052e-10,-0.01519224698779198,5.10702591327572e-15,,,0.5196500696147496,0.011302579212861713,0.984807753012208,1.000000000000005,1.0000000000000049,False,0,0,0,0.0,0,,{}
baseline_soft_linear_3e4,1.02,170.0,12000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,150000043475.667,150015036432.5996,144.53846555689043,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",0.01960784313725499,0.9223856367917704,-0.024895023050582443,-0.8070407520685968,,,,,0.9751049769494176,0.19295924793140315,0.5950953862751378,False,0,0,0,0.0,0,,{}
