controller_name,variant_name,commit_timing,radial_magnitude_label,radial_magnitude,r0_over_target,initial_velocity_angle_deg,thrust_scale,target_radius_scale,baseline_non_crossing_case,crossing_occurs,first_crossing_step,phase34_compatible_crossing,recoverable_crossing,recoverable_state,new_crossing_on_baseline_non_crossing_case,crossing_vr_ratio,crossing_vt_error_ratio,crossing_sync_error,best_post_cross_distance,best_post_cross_sync,min_abs_radius_error,min_abs_radius_error_ratio,closest_approach_step,best_crossing_potential,dominant_failure_label,overspeed,instability,max_speed_ratio,termination_reason,simulator_success_label
phase37a_radial_commit_timing,early_commit_medium,early_commit,medium,0.105,1.0,170.0,8000.0,1.0,False,False,,False,False,False,False,,,,4.098184697861952,3.999999999999999,0.0,0.0,1,0.8166560254058768,near_crossing,False,False,0.9437994632441874,max_steps,False
phase37a_radial_commit_timing,early_commit_medium,early_commit,medium,0.105,1.02,170.0,8000.0,1.0,True,False,,False,False,False,False,,,,9.19385128775556,8.032240067171875,149997850330.75293,0.019999713377433725,84,0.8198689772842642,near_crossing,False,False,1.0006279105582931,max_steps,False
phase37a_radial_commit_timing,early_commit_medium,early_commit,medium,0.105,0.98,175.0,8000.0,1.0,True,False,,False,False,False,False,,,,9.342907410194677,8.044721723130053,149995992372.3506,0.019999465649646744,84,0.8207337344340877,near_crossing,False,False,1.3926172248425404,max_steps,False
phase37a_radial_commit_timing,early_commit_medium,early_commit,medium,0.105,1.0,175.0,8000.0,1.0,False,False,,False,False,False,False,,,,4.0996101107782,3.999999999999999,0.0,0.0,1,0.8213963323799434,near_crossing,False,False,0.9439658492690123,max_steps,False
phase37a_radial_commit_timing,early_commit_medium,early_commit,medium,0.105,1.02,175.0,8000.0,1.0,True,False,,False,False,False,False,,,,9.193820410186788,8.032204737012448,149997187914.13086,0.01999962505521745,84,0.8201190340238468,near_crossing,False,False,1.0006279102100035,max_steps,False
phase37a_radial_commit_timing,early_commit_medium,early_commit,medium,0.105,0.98,150.0,10000.0,1.0,True,False,,False,False,False,False,,,,9.235373799281305,8.014608772975208,149993412150.8203,0.019999121620109375,80,0.8214575509885615,near_crossing,False,False,1.4141147780566818,max_steps,False
phase37a_radial_commit_timing,early_commit_medium,early_commit,medium,0.105,1.0,150.0,10000.0,1.0,False,False,,False,False,False,False,,,,4.342079045466832,3.999999999999999,0.0,0.0,1,0.7720677359553495,near_crossing,False,False,0.9292636846963624,max_steps,False
phase37a_radial_commit_timing,early_commit_medium,early_commit,medium,0.105,1.02,150.0,10000.0,1.0,True,False,,False,False,False,False,,,,9.104224892616772,8.002380382633959,150000000000.0,0.02,1,0.8200492569206392,near_crossing,False,False,1.000627910917254,max_steps,False
phase37a_radial_commit_timing,early_commit_medium,early_commit,medium,0.105,0.98,165.0,10000.0,1.0,True,False,,False,False,False,False,,,,9.235437575791964,8.014682236731979,149994789561.50586,0.019999305274867447,80,0.8196822476326067,near_crossing,False,False,1.47500339102065,max_steps,False
phase37a_radial_commit_timing,early_commit_medium,early_commit,medium,0.105,1.0,165.0,10000.0,1.0,False,False,,False,False,False,False,,,,4.336118427254229,3.999999999999999,0.0,0.0,1,0.8089852465208062,near_crossing,False,False,0.9295752204383158,max_steps,False
