t, pos_x, pos_y, vel_x, vel_y, thrust_x, thrust_y
7.100000000000000000e+02,1.499999999984819641e+11,2.114401725486046821e+07,-4.230991130756923436e-03,2.978060347858493697e+04,-1.198075899475286134e-04,8.499396436983286396e-01
7.200000000000000000e+02,1.499999999984390564e+11,2.144182337464020029e+07,-4.291190016899095253e-03,2.978061197797305795e+04,-1.214949166006073171e-04,8.499387935195721333e-01
7.300000000000000000e+02,1.499999999983955383e+11,2.173962957941372693e+07,-4.351405776257947708e-03,2.978062047735256056e+04,-1.231822403590756882e-04,8.499379433383156268e-01
7.400000000000000000e+02,1.499999999983514099e+11,2.203743586918096244e+07,-4.411638408803836980e-03,2.978062897672344116e+04,-1.248695612229170162e-04,8.499370931545594532e-01
7.500000000000000000e+02,1.499999999983067017e+11,2.233524224394182116e+07,-4.471887914507119248e-03,2.978063747608570338e+04,-1.265568791921143472e-04,8.499362429683035014e-01
7.600000000000000000e+02,1.499999999982613831e+11,2.263304870369621366e+07,-4.532154293338150688e-03,2.978064597543934724e+04,-1.282441942666509300e-04,8.499353927795476604e-01
7.700000000000000000e+02,1.499999999982154541e+11,2.293085524844405800e+07,-4.592437545267288347e-03,2.978065447478437272e+04,-1.299315064465100139e-04,8.499345425882918192e-01
7.800000000000000000e+02,1.499999999981689148e+11,2.322866187818526477e+07,-4.652737670264887535e-03,2.978066297412077984e+04,-1.316188157316747665e-04,8.499336923945361999e-01
7.900000000000000000e+02,1.499999999981217957e+11,2.352646859291975200e+07,-4.713054668301304428e-03,2.978067147344856858e+04,-1.333061221221283285e-04,8.499328421982809134e-01
8.000000000000000000e+02,1.499999999980740662e+11,2.382427539264743030e+07,-4.773388539346894339e-03,2.978067997276773531e+04,-1.349934256178540303e-04,8.499319919995258488e-01
8.100000000000000000e+02,1.499999999980257263e+11,2.412208227736821398e+07,-4.833739283372012578e-03,2.978068847207828367e+04,-1.366807262188349584e-04,8.499311417982708949e-01
8.200000000000000000e+02,1.499999999979767761e+11,2.441988924708201736e+07,-4.894106900347014455e-03,2.978069697138021365e+04,-1.383680239250543618e-04,8.499302915945159409e-01
8.300000000000000000e+02,1.499999999979272461e+11,2.471769630178875104e+07,-4.954491390242256148e-03,2.978070547067352527e+04,-1.400553187364953812e-04,8.499294413882615418e-01
8.400000000000000000e+02,1.499999999978771057e+11,2.501550344148833305e+07,-5.014892753028091232e-03,2.978071396995821851e+04,-1.417426106531412657e-04,8.499285911795069204e-01
8.500000000000000000e+02,1.499999999978263550e+11,2.531331066618067771e+07,-5.075310988674875887e-03,2.978072246923428975e+04,-1.434298996749752372e-04,8.499277409682527429e-01
8.600000000000000000e+02,1.499999999977749939e+11,2.561111797586569563e+07,-5.135746097152963686e-03,2.978073096850174261e+04,-1.451171858019804906e-04,8.499268907544987872e-01
8.700000000000000000e+02,1.499999999977230225e+11,2.590892537054330111e+07,-5.196198078432709942e-03,2.978073946776057710e+04,-1.468044690341401394e-04,8.499260405382450534e-01
8.800000000000000000e+02,1.499999999976704407e+11,2.620673285021340847e+07,-5.256666932484468230e-03,2.978074796701079322e+04,-1.484917493714374870e-04,8.499251903194915414e-01
8.900000000000000000e+02,1.499999999976172791e+11,2.650454041487593204e+07,-5.317152659278592992e-03,2.978075646625238733e+04,-1.501790268138556198e-04,8.499243400982382513e-01
9.000000000000000000e+02,1.499999999975635071e+11,2.680234806453078613e+07,-5.377655258785437806e-03,2.978076496548536306e+04,-1.518663013613778953e-04,8.499234898744852940e-01
9.100000000000000000e+02,1.499999999975091248e+11,2.710015579917788506e+07,-5.438174730975357113e-03,2.978077346470972043e+04,-1.535535730139873998e-04,8.499226396482326695e-01
9.200000000000000000e+02,1.499999999974541321e+11,2.739796361881713942e+07,-5.498711075818704490e-03,2.978078196392545578e+04,-1.552408417716673284e-04,8.499217894194800449e-01
9.300000000000000000e+02,1.499999999973985291e+11,2.769577152344846353e+07,-5.559264293285832645e-03,2.978079046313257277e+04,-1.569281076344009301e-04,8.499209391882278641e-01
9.400000000000000000e+02,1.499999999973423157e+11,2.799357951307177544e+07,-5.619834383347096021e-03,2.978079896233107138e+04,-1.586153706021713725e-04,8.499200889544759052e-01
9.500000000000000000e+02,1.499999999972855225e+11,2.829138758768698573e+07,-5.680421345972847327e-03,2.978080746152095162e+04,-1.603026306749618507e-04,8.499192387182242792e-01
9.600000000000000000e+02,1.499999999972281189e+11,2.858919574729400873e+07,-5.741025181133439272e-03,2.978081596070220985e+04,-1.619898878527556137e-04,8.499183884794727639e-01
