t, pos_x, pos_y, vel_x, vel_y, thrust_x, thrust_y
2.400000000000000000e+02,1.500000000002730103e+11,7.147225410875560716e+06,3.160931528128979422e-03,2.978020324761839220e+04,-7.650823037991684450e-02,8.465497567681027347e-01
2.500000000000000000e+02,1.500000000002963867e+11,7.445027528006692417e+06,2.336848412530954586e-03,2.978021171311314902e+04,-1.321132963940647304e-02,8.498973236627818117e-01
2.600000000000000000e+02,1.500000000003178406e+11,7.742829730127527378e+06,2.145734304355144655e-03,2.978022021208345541e+04,2.023908024000329383e-04,8.499999759046839021e-01
2.700000000000000000e+02,1.500000000003387146e+11,8.040632017248328775e+06,2.088757400615207354e-03,2.978022871208017023e+04,-3.676177723269295067e-02,8.492046701088575844e-01
2.800000000000000000e+02,1.500000000003553467e+11,8.338434389289565384e+06,1.662138816542844694e-03,2.978023720412371040e+04,1.182055100709841072e-01,8.417407305036739285e-01
2.900000000000000000e+02,1.500000000003832092e+11,8.636236845504842699e+06,2.785193105526451770e-03,2.978024562152773433e+04,2.693753384778073412e-02,8.495730511675847474e-01
3.000000000000000000e+02,1.500000000004131775e+11,8.934039386677391827e+06,2.995567632297930789e-03,2.978025411725484810e+04,1.029125963453623310e-01,8.437469985211542012e-01
3.100000000000000000e+02,1.500000000004528198e+11,9.231842012224605307e+06,3.965692784065830319e-03,2.978026255472131743e+04,3.280806005232670547e-02,8.493666058867649360e-01
3.200000000000000000e+02,1.500000000004951782e+11,9.529644722708443180e+06,4.234772572924683752e-03,2.978027104838374362e+04,9.944814087159860316e-02,8.441623465170565721e-01
3.300000000000000000e+02,1.500000000005468750e+11,9.827447517608478665e+06,5.170253169998266854e-03,2.978027949000346052e+04,-1.793289367607598869e-02,8.498108091360115912e-01
3.400000000000000000e+02,1.500000000005961914e+11,1.012525039748955518e+07,4.931923421617818298e-03,2.978028798810768785e+04,-8.832372174685572397e-02,8.453986752868637433e-01
3.500000000000000000e+02,1.500000000006360779e+11,1.042305336191046052e+07,3.989685392552983802e-03,2.978029644209045728e+04,-5.645725815047205470e-02,8.481229733960348183e-01
3.600000000000000000e+02,1.500000000006697388e+11,1.072085641114362143e+07,3.366111999476087153e-03,2.978030492331609275e+04,1.855532825997236596e-02,8.497974463324566852e-01
3.700000000000000000e+02,1.500000000007046509e+11,1.101865954535648413e+07,3.492664470528428645e-03,2.978031342128634060e+04,-1.172924960072365130e-01,8.418684400667318934e-01
3.800000000000000000e+02,1.500000000007272644e+11,1.131646276375614852e+07,2.260738698934173976e-03,2.978032183996640742e+04,-2.919965974274350839e-02,8.494983106933811090e-01
3.900000000000000000e+02,1.500000000007463684e+11,1.161426606710559875e+07,1.909741290011029687e-03,2.978033033494506162e+04,7.119564045927422036e-02,8.470130936293687185e-01
4.000000000000000000e+02,1.500000000007720032e+11,1.191206945515631326e+07,2.562696883134938167e-03,2.978033880507143112e+04,-5.463804616388564378e-02,8.482421139694688028e-01
4.100000000000000000e+02,1.500000000007915649e+11,1.220987292803119123e+07,1.957315610054826370e-03,2.978034728748788621e+04,-3.139922519986925592e-02,8.494198541692136173e-01
4.200000000000000000e+02,1.500000000008074036e+11,1.250767648584800772e+07,1.584322546643149787e-03,2.978035578168162465e+04,4.124598307696882016e-02,8.489986860296159232e-01
4.300000000000000000e+02,1.500000000008267822e+11,1.280548012856464274e+07,1.937781566028820134e-03,2.978036427166356589e+04,-2.358747685923326745e-02,8.496726610497805643e-01
4.400000000000000000e+02,1.500000000008432007e+11,1.310328385624849424e+07,1.642905986082136144e-03,2.978037276838513935e+04,2.181267531197069592e-02,8.497200757871586907e-01
4.500000000000000000e+02,1.500000000008612061e+11,1.340108766890430078e+07,1.802031927877853490e-03,2.978038126558074146e+04,1.015621979003304698e-01,8.439106113550499666e-01
4.600000000000000000e+02,1.500000000008887939e+11,1.369889156595111638e+07,2.758653095588229406e-03,2.978038970468158368e+04,-1.080150679513816776e-02,8.499313663178660327e-01
4.700000000000000000e+02,1.500000000009147034e+11,1.399669554799101502e+07,2.591637216375685098e-03,2.978039820398985830e+04,-8.443686009805317916e-02,8.457957298643579147e-01
4.800000000000000000e+02,1.500000000009315796e+11,1.429449961461043172e+07,1.688267804166452852e-03,2.978040666194165169e+04,1.075804603984360230e-01,8.431645417950524024e-01
4.900000000000000000e+02,1.500000000009586182e+11,1.459230376554624550e+07,2.705071596955265466e-03,2.978041509358144685e+04,3.495380089766508824e-02,8.492810087378656059e-01
5.000000000000000000e+02,1.500000000009885864e+11,1.489010800141010433e+07,2.995608794770227359e-03,2.978042358638579390e+04,8.276320427438357830e-02,8.459611409623002398e-01
5.100000000000000000e+02,1.500000000010262146e+11,1.518791232187001780e+07,3.764240026386932864e-03,2.978043204599134697e+04,5.889462935665778359e-02,8.479572056613128295e-01
5.200000000000000000e+02,1.500000000010691528e+11,1.548571672712559253e+07,4.294185508861642769e-03,2.978044052555743110e+04,1.133616406062103316e-01,8.424067535573706023e-01
5.300000000000000000e+02,1.500000000011228333e+11,1.578352121662178077e+07,5.368801103867842581e-03,2.978044894961887621e+04,-9.866437312716039298e-02,8.442543109012975444e-01
5.400000000000000000e+02,1.500000000011660767e+11,1.608132579054333828e+07,4.323156561577005258e-03,2.978045739215577851e+04,3.627417411399676966e-02,8.492256380328769838e-01
5.500000000000000000e+02,1.500000000012123413e+11,1.637913044938739575e+07,4.626897491735100162e-03,2.978046588440583218e+04,1.123205212564832300e-01,8.425462008131494596e-01
5.600000000000000000e+02,1.500000000012692566e+11,1.667693519248601049e+07,5.691101893356119608e-03,2.978047430986139807e+04,-7.968061427634225147e-02,8.462570529741804126e-01
5.700000000000000000e+02,1.500000000013175964e+11,1.697474002021026239e+07,4.835294939687650138e-03,2.978048277242536642e+04,4.508237202869253002e-02,8.488036167054582304e-01
5.800000000000000000e+02,1.500000000013698730e+11,1.727254493281481043e+07,5.227117849108985255e-03,2.978049126045485536e+04,-9.105731537462091046e-03,8.499512254554184576e-01
5.900000000000000000e+02,1.500000000014206543e+11,1.757034993041441217e+07,5.077059722908931587e-03,2.978049975996031571e+04,-6.015929445098217032e-02,8.478684209776656822e-01
6.000000000000000000e+02,1.500000000014648132e+11,1.786815501280078664e+07,4.416465967614531529e-03,2.978050823863761616e+04,-1.103087219590909857e-02,8.499284204323311886e-01
6.100000000000000000e+02,1.500000000015072937e+11,1.816596018017993495e+07,4.247156434912409233e-03,2.978051673791479334e+04,-1.170802758454123488e-01,8.418979801662207496e-01
6.200000000000000000e+02,1.500000000015374756e+11,1.846376543174881116e+07,3.017352865757497865e-03,2.978052515688744825e+04,-8.688820003168960804e-02,8.455474207253269592e-01
6.300000000000000000e+02,1.500000000015583801e+11,1.876157076787235588e+07,2.089470054782744703e-03,2.978053361235439297e+04,-6.634952852683986824e-02,8.474064786537014449e-01
6.400000000000000000e+02,1.500000000015720520e+11,1.905937618873647228e+07,1.366973958900110633e-03,2.978054208641179866e+04,-9.971519811470933026e-02,8.441308425030711327e-01
6.500000000000000000e+02,1.500000000015751648e+11,1.935718169401359931e+07,3.108211671830956799e-04,2.978055052771272676e+04,1.084529376271085727e-01,8.430527624769701411e-01
6.600000000000000000e+02,1.500000000015885315e+11,1.965498728359592706e+07,1.336349732929262768e-03,2.978055895823273750e+04,1.762024926970919003e-02,8.498173490907757754e-01
6.700000000000000000e+02,1.500000000016030579e+11,1.995279295815991238e+07,1.453551415147144718e-03,2.978056745639849760e+04,-2.080466992730767295e-02,8.497453534496177685e-01
6.800000000000000000e+02,1.500000000016149292e+11,2.025059871769835427e+07,1.186503905441265577e-03,2.978057595384418528e+04,-5.090572802519227613e-02,8.484742817871532283e-01
6.900000000000000000e+02,1.500000000016211243e+11,2.054840456208414584e+07,6.184458148036433038e-04,2.978058443857903694e+04,-7.260735231440786086e-02,8.468932473398826932e-01
7.000000000000000000e+02,1.500000000016194458e+11,2.084621049115917832e+07,-1.666285186783387140e-04,2.978059290750342916e+04,-2.154702747224900711e-02,8.497268535283029056e-01
7.100000000000000000e+02,1.500000000016150208e+11,2.114401650520681590e+07,-4.410996036902443051e-04,2.978060140476376546e+04,-5.414333247977368146e-03,8.499827557047728854e-01
7.200000000000000000e+02,1.500000000016094666e+11,2.144182260425264761e+07,-5.542437464102501756e-04,2.978060990458300512e+04,-4.575988822149081904e-03,8.499876824556339416e-01
7.300000000000000000e+02,1.500000000016028748e+11,2.173962878829716146e+07,-6.590044448220931488e-04,2.978061840445139751e+04,8.650320185505210036e-02,8.455868944519092656e-01
7.400000000000000000e+02,1.500000000016043396e+11,2.203743505690027773e+07,1.470267635886527823e-04,2.978062686031178964e+04,-2.605221052479838109e-02,8.496006605027867087e-01
7.500000000000000000e+02,1.500000000016026001e+11,2.233524141046337411e+07,-1.724961517478250362e-04,2.978063535630972547e+04,-1.136657615912273350e-01,8.423657724776609790e-01
7.600000000000000000e+02,1.500000000015889282e+11,2.263304784826296195e+07,-1.368154577696616353e-03,2.978064377995866380e+04,-5.767413273912026794e-02,8.480410924081392965e-01
7.700000000000000000e+02,1.500000000015688782e+11,2.293085437086657062e+07,-2.003896715071672250e-03,2.978065226036068634e+04,5.418964946477197731e-02,8.482708776628401504e-01
7.800000000000000000e+02,1.500000000015536804e+11,2.322866097829717398e+07,-1.521001030354448462e-03,2.978066074306044175e+04,9.096907163404328867e-02,8.451181148254016673e-01
7.900000000000000000e+02,1.500000000015469666e+11,2.352646767023949698e+07,-6.703111238904528417e-04,2.978066919423245417e+04,-1.044678770422601682e-01,8.435558444266052502e-01
8.000000000000000000e+02,1.500000000015292358e+11,2.382427444653731212e+07,-1.773990704134728634e-03,2.978067762978164319e+04,6.122157766739565188e-02,8.477923793169618305e-01
8.100000000000000000e+02,1.500000000015170288e+11,2.412208130761427432e+07,-1.220775737226993977e-03,2.978068610769606676e+04,-4.800560424628932260e-02,8.486433066730384445e-01
8.200000000000000000e+02,1.500000000014994202e+11,2.441988825355546921e+07,-1.759832589399954860e-03,2.978069459411964635e+04,4.036217705336050954e-02,8.490411619371072138e-01
8.300000000000000000e+02,1.500000000014852600e+11,2.471769528440068662e+07,-1.415211628519569709e-03,2.978070308452166137e+04,-6.817463432489175024e-02,8.472616002361179621e-01
8.400000000000000000e+02,1.500000000014637146e+11,2.501550239997196570e+07,-2.155958781364158625e-03,2.978071155712794280e+04,-9.105722604920835767e-03,8.499512255511150194e-01
8.500000000000000000e+02,1.500000000014406433e+11,2.531330960053826869e+07,-2.306016816950798819e-03,2.978072005663035816e+04,3.100831006372299463e-03,8.499943440088704172e-01
8.600000000000000000e+02,1.500000000014172974e+11,2.561111688610390574e+07,-2.334009316365571064e-03,2.978072855656384127e+04,1.127018303980979741e-01,8.424952803576519766e-01
8.700000000000000000e+02,1.500000000014046326e+11,2.590892425591897219e+07,-1.265991821803452277e-03,2.978073698150657219e+04,-4.097913162537395598e-02,8.490116081486933641e-01
