t, pos_x, pos_y, vel_x, vel_y, thrust_x, thrust_y
3.500000000000000000e+02,1.499999999996271362e+11,1.042305354999161512e+07,-2.075069272942088334e-03,2.978029749993007135e+04,-5.906396997417236649e-05,8.499999979479102574e-01
3.600000000000000000e+02,1.499999999996058044e+11,1.072085660999087431e+07,-2.134660724214800138e-03,2.978030599992594944e+04,-6.075152063493942503e-05,8.499999978289722868e-01
3.700000000000000000e+02,1.499999999995838623e+11,1.101865975499009155e+07,-2.194269050969368910e-03,2.978031449992171110e+04,-6.243907177665526046e-05,8.499999977066836632e-01
3.800000000000000000e+02,1.499999999995613098e+11,1.131646298498926498e+07,-2.253894253209906811e-03,2.978032299991735272e+04,-6.412662339929994381e-05,8.499999975810448305e-01
3.900000000000000000e+02,1.499999999995381775e+11,1.161426629998839460e+07,-2.313536330940526003e-03,2.978033149991287792e+04,-6.581417550285349185e-05,8.499999974520555668e-01
4.000000000000000000e+02,1.499999999995144348e+11,1.191206969998747669e+07,-2.373195284165338648e-03,2.978033999990828306e+04,-6.750172808729598239e-05,8.499999973197156500e-01
4.100000000000000000e+02,1.499999999994901123e+11,1.220987318498651311e+07,-2.432871112888456040e-03,2.978034849990357179e+04,-6.918928115260749320e-05,8.499999971840255242e-01
4.200000000000000000e+02,1.499999999994651794e+11,1.250767675498550013e+07,-2.492563817113989909e-03,2.978035699989874047e+04,-7.087683469876804787e-05,8.499999970449848563e-01
4.300000000000000000e+02,1.499999999994396667e+11,1.280548040998443775e+07,-2.552273396846051548e-03,2.978036549989379273e+04,-7.256438872575772417e-05,8.499999969025938684e-01
4.400000000000000000e+02,1.499999999994135437e+11,1.310328414998332411e+07,-2.611999852088751819e-03,2.978037399988872494e+04,-7.425194323355657278e-05,8.499999967568523385e-01
4.500000000000000000e+02,1.499999999993868408e+11,1.340108797498215921e+07,-2.671743182846201582e-03,2.978038249988353709e+04,-7.593949822214465795e-05,8.499999966077604885e-01
4.600000000000000000e+02,1.499999999993595276e+11,1.369889188498094119e+07,-2.731503389122511699e-03,2.978039099987823283e+04,-7.762705369150201679e-05,8.499999964553179854e-01
4.700000000000000000e+02,1.499999999993316040e+11,1.399669587997967005e+07,-2.791280470921792597e-03,2.978039949987280852e+04,-7.931460964160874064e-05,8.499999962995251623e-01
4.800000000000000000e+02,1.499999999993031006e+11,1.429449995997834206e+07,-2.851074428248154269e-03,2.978040799986726779e+04,-8.100216607244486663e-05,8.499999961403817972e-01
4.900000000000000000e+02,1.499999999992739868e+11,1.459230412497695908e+07,-2.910885261105707143e-03,2.978041649986160701e+04,-8.268972298399045900e-05,8.499999959778882230e-01
5.000000000000000000e+02,1.499999999992442932e+11,1.489010837497551739e+07,-2.970712969498561212e-03,2.978042499985582617e+04,-8.437728037622556842e-05,8.499999958120438848e-01
5.100000000000000000e+02,1.499999999992139893e+11,1.518791270997401699e+07,-3.030557553430825602e-03,2.978043349984992892e+04,-8.606483824913025913e-05,8.499999956428492265e-01
5.200000000000000000e+02,1.499999999991830750e+11,1.548571712997245602e+07,-3.090419012906610308e-03,2.978044199984391162e+04,-8.775239660268456825e-05,8.499999954703040261e-01
5.300000000000000000e+02,1.499999999991515808e+11,1.578352163497083448e+07,-3.150297347930024455e-03,2.978045049983777426e+04,-8.943995543686857356e-05,8.499999952944083947e-01
5.400000000000000000e+02,1.499999999991194763e+11,1.608132622496915050e+07,-3.210192558505176735e-03,2.978045899983152049e+04,-9.112751475166233931e-05,8.499999951151623323e-01
5.500000000000000000e+02,1.499999999990867615e+11,1.637913089996740222e+07,-3.270104644636176276e-03,2.978046749982514666e+04,-9.281507454704591618e-05,8.499999949325659498e-01
5.600000000000000000e+02,1.499999999990534668e+11,1.667693565996558964e+07,-3.330033606327132203e-03,2.978047599981865278e+04,-9.450263482299934127e-05,8.499999947466186923e-01
5.700000000000000000e+02,1.499999999990195618e+11,1.697474050496371090e+07,-3.389979443582152342e-03,2.978048449981203885e+04,-9.619019557950269240e-05,8.499999945573213367e-01
5.800000000000000000e+02,1.499999999989850769e+11,1.727254543496176228e+07,-3.449942156405345385e-03,2.978049299980530850e+04,-9.787775681653600667e-05,8.499999943646734391e-01
5.900000000000000000e+02,1.499999999989499817e+11,1.757035044995974749e+07,-3.509921744800819157e-03,2.978050149979845810e+04,-9.956531853407938899e-05,8.499999941686748883e-01
6.000000000000000000e+02,1.499999999989142761e+11,1.786815554995766282e+07,-3.569918208772681484e-03,2.978050999979148764e+04,-1.012528807321128223e-04,8.499999939693260176e-01
6.100000000000000000e+02,1.499999999988779907e+11,1.816596073495550826e+07,-3.629931548325040190e-03,2.978051849978440077e+04,-1.029404434106164249e-04,8.499999937666264938e-01
6.200000000000000000e+02,1.499999999988410950e+11,1.846376600495328009e+07,-3.689961763462002668e-03,2.978052699977719385e+04,-1.046280065695702477e-04,8.499999935605766499e-01
6.300000000000000000e+02,1.499999999988035889e+11,1.876157135995097831e+07,-3.750008854187676308e-03,2.978053549976986687e+04,-1.063155702089543141e-04,8.499999933511761530e-01
6.400000000000000000e+02,1.499999999987655029e+11,1.905937679994860291e+07,-3.810072820506168068e-03,2.978054399976241984e+04,-1.080031343287486884e-04,8.499999931384252250e-01
6.500000000000000000e+02,1.499999999987268066e+11,1.935718232494615018e+07,-3.870153662421584907e-03,2.978055249975485276e+04,-1.096906989289334755e-04,8.499999929223238659e-01
6.600000000000000000e+02,1.499999999986875000e+11,1.965498793494362012e+07,-3.930251379938033349e-03,2.978056099974716926e+04,-1.113782640094886583e-04,8.499999927028720759e-01
6.700000000000000000e+02,1.499999999986475830e+11,1.995279362994101271e+07,-3.990365973059619917e-03,2.978056949973936571e+04,-1.130658295703943416e-04,8.499999924800695217e-01
6.800000000000000000e+02,1.499999999986070862e+11,2.025059940993832797e+07,-4.050497441790451569e-03,2.978057799973144211e+04,-1.147533956116305898e-04,8.499999922539165365e-01
6.900000000000000000e+02,1.499999999985659790e+11,2.054840527493556216e+07,-4.110645786134633529e-03,2.978058649972339845e+04,-1.164409621331774400e-04,8.499999920244132312e-01
7.000000000000000000e+02,1.499999999985242615e+11,2.084621122493271530e+07,-4.170811006096271888e-03,2.978059499971523474e+04,-1.181285291350149698e-04,8.499999917915591618e-01
7.100000000000000000e+02,1.499999999984819641e+11,2.114401725992978364e+07,-4.230993101679472734e-03,2.978060349970695461e+04,-1.198160966171231623e-04,8.499999915553547725e-01
7.200000000000000000e+02,1.499999999984390564e+11,2.144182337992677093e+07,-4.291192072888340425e-03,2.978061199969855443e+04,-1.215036645794821766e-04,8.499999913157997300e-01
7.300000000000000000e+02,1.499999999983955383e+11,2.173962958492366970e+07,-4.351407919726981051e-03,2.978062049969003419e+04,-1.231912330220719955e-04,8.499999910728941455e-01
7.400000000000000000e+02,1.499999999983514099e+11,2.203743587492048368e+07,-4.411640642199499834e-03,2.978062899968139391e+04,-1.248788019448727647e-04,8.499999908266381299e-01
7.500000000000000000e+02,1.499999999983067017e+11,2.233524224991720915e+07,-4.471890240310001131e-03,2.978063749967263357e+04,-1.265663713478643992e-04,8.499999905770315722e-01
