variant_name,sweep,predictive_horizon,replan_interval,score_mode,action_space,burn_hold_steps,controller_name,r0_over_target,initial_velocity_angle_deg,thrust_scale,target_radius_scale,success,capture_entered,lock_entered,crossing_occurs,crossing_vr,crossing_vt_error,crossing_vr_ratio,crossing_vt_error_ratio,crossing_radius_error,recoverable_crossing,crossing_score,recoverability_score,near_miss,radius_crossings_total,first_crossing_step,minimum_abs_radius_error,final_radius_error,tail_mean_abs_vr,steps,terminated,truncated,termination_reason,dominant_planner_mode,planner_mode_counts_json,initial_energy_error_ratio,final_energy_error_ratio,initial_angular_momentum_ratio,final_angular_momentum_ratio,max_speed_ratio,overspeed,turning_point_count,mean_abs_tracking_error,initial_transfer_energy_error_ratio,final_transfer_energy_error_ratio,initial_transfer_angular_momentum_error_ratio,final_transfer_angular_momentum_error_ratio,burn_steps,coast_steps,burn_ratio,event_count,burn_count,predictive_replans,candidate_eval_count,runtime_seconds,planner_choice_counts_json,planner_choice_named_counts_json,coast_chosen_pct,prograde_pct,retrograde_pct,radial_inward_pct,radial_outward_pct,diagonal_pct,avg_chosen_thrust_norm,avg_score_margin,event_steps_json,burn_steps_json
baseline_h260_r40_recoverability_base,baseline,260,40,recoverability,baseline,0,baseline_h260_r40_recoverability_base,1.0,170.0,10000.0,1.0,True,True,True,True,-14.98621570953258,-4062.7001351939803,-0.0035620692457484443,-0.9656620114621247,-1402.0849609375,False,0.7768040924515426,0.02687945836559521,False,1,26,96.537109375,1044.1005859375,8.944379745003824,243,True,False,success,phase76_handoff,"{""phase76_handoff"": 26}",2.104654818683916e-16,2.7841236850026503e-10,0.984807753012208,1.0000000000000058,1.0000000000000058,False,0,4.240856750450103e-07,2.104654818683916e-16,2.7841236850026503e-10,0.015192246987791962,1.3920605199046318e-10,0,0,0.0,0,0,0,0,0.0038168999999470543,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
baseline_h260_r40_recoverability_base,baseline,260,40,recoverability,baseline,0,baseline_h260_r40_recoverability_base,0.98,150.0,10000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,73503600577.52051,73503600577.52051,7641.444867204002,100000,False,True,max_steps,coast,"{""coast"": 99880, ""predictive_descent"": 120}",0.020408163265306076,2.28076684530052,0.8748177652797064,0.0464839898120614,1.8225166083328077,False,0,0.015131208993974738,0.01020408163265299,2.2679591768475147,0.1383156030192956,1.0462626624945388,0,99880,0.0,0,0,2500,22500,8.370437199999287,"{""coast"": 2497, ""diagonal"": 2, ""prograde"": 1}","{""coast"": 2497, ""retrograde_outward"": 2, ""small_prograde"": 1}",99.88,0.04,0.0,0.0,0.0,0.08,0.00010347184905645283,1.7758135364753347e-05,[],[]
baseline_h260_r40_recoverability_base,baseline,260,40,recoverability,baseline,0,baseline_h260_r40_recoverability_base,0.98,165.0,10000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,83618167850.35059,83618167850.35059,6638.428136086643,100000,False,True,max_steps,coast,"{""coast"": 99960, ""predictive_descent"": 40}",0.020408163265306076,2.4022249608839545,0.9757324312745989,0.9669976051605442,1.8555422156152144,False,0,0.01580653493683591,0.01020408163265299,2.3882027112751154,0.03891593766554585,0.03891735030532278,0,99960,0.0,0,0,2500,22500,10.07645550000234,"{""coast"": 2499, ""radial_outward"": 1}","{""coast"": 2499, ""radial_outward"": 1}",99.96,0.0,0.0,0.0,0.04,0.0,4e-05,7.193714758546576e-09,[],[]
baseline_h260_r40_recoverability_base,baseline,260,40,recoverability,baseline,0,baseline_h260_r40_recoverability_base,1.02,150.0,10000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,87655012837.91504,87655012837.91504,6248.7963092026885,100000,False,True,max_steps,coast,"{""coast"": 99840, ""predictive_descent"": 160}",0.01960784313725499,1.26857778710544,0.8574929257125444,0.19758999741601208,1.8548228584815822,False,0,0.0156172871730592,0.009803921568627649,1.2712635649764943,0.12965524072353934,1.1989170022235835,0,99840,0.0,0,0,2500,22500,12.467957900000329,"{""coast"": 2496, ""diagonal"": 1, ""radial_inward"": 1, ""retrograde"": 2}","{""coast"": 2496, ""prograde_inward"": 1, ""radial_inward"": 1, ""small_retrograde"": 2}",99.84,0.0,0.08,0.04,0.0,0.04,0.00013373592452822642,1.5623954651022843e-08,[],[]
baseline_h260_r40_recoverability_base,baseline,260,40,recoverability,baseline,0,baseline_h260_r40_recoverability_base,1.0,175.0,10000.0,1.0,True,True,True,True,-79.19029577566481,-3603.0741488999756,-0.01882271833073839,-0.8564136446924371,-4727.6806640625,False,0.7077181783811932,0.021957297513013917,False,1,7,2218.6337890625,2824.8642578125,3.50178163891905,224,True,False,success,phase76_handoff,"{""phase76_handoff"": 7}",2.104654818683916e-16,7.532826887231708e-10,0.9961946980917454,1.0000000000000058,1.0000000000000058,False,0,3.9194432095307846e-07,2.104654818683916e-16,7.532826887231708e-10,0.0038053019082545138,3.766413375752306e-10,0,0,0.0,0,0,0,0,0.0033358000000589527,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
baseline_h260_r40_recoverability_base,baseline,260,40,recoverability,baseline,0,baseline_h260_r40_recoverability_base,1.05,150.0,10000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,312362174514.38184,312362174514.38184,6277.422441779943,100000,False,True,max_steps,coast,"{""coast"": 99840, ""predictive_descent"": 160}",0.04761904761904765,1.350728068785586,0.8451542547285167,0.2099886321584733,1.8679514733463263,False,0,0.045250483416067674,0.023809523809523878,1.3594962705052256,0.12321610416249097,1.2161146500090698,0,99840,0.0,0,0,2500,22500,12.51308599999902,"{""coast"": 2496, ""diagonal"": 1, ""radial_inward"": 1, ""retrograde"": 2}","{""coast"": 2496, ""prograde_inward"": 1, ""radial_inward"": 1, ""small_retrograde"": 2}",99.84,0.0,0.08,0.04,0.0,0.04,0.00013373592452822642,1.570043893091011e-08,[],[]
baseline_h260_r40_recoverability_base,baseline,260,40,recoverability,baseline,0,baseline_h260_r40_recoverability_base,0.98,170.0,10000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,87233323841.75,87233323841.75,6277.3382664235505,100000,False,True,max_steps,coast,"{""coast"": 99960, ""predictive_descent"": 40}",0.020408163265306496,2.1756347206130084,0.9948060576000269,0.9863812952385799,1.7934455875462758,False,0,0.01604764273940445,0.010204081632653406,2.163878373406878,0.020128657787653964,0.020130098041787628,0,99960,0.0,0,0,2500,22500,10.35999240000092,"{""coast"": 2499, ""radial_outward"": 1}","{""coast"": 2499, ""radial_outward"": 1}",99.96,0.0,0.0,0.0,0.04,0.0,4e-05,7.207908648432238e-09,[],[]
baseline_h260_r40_recoverability_base,baseline,260,40,recoverability,baseline,0,baseline_h260_r40_recoverability_base,1.05,170.0,10000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,326631529290.91895,326631529290.91895,4848.160341868105,100000,False,True,max_steps,coast,"{""coast"": 99920, ""predictive_descent"": 80}",0.047619047619047436,0.41325421172849236,0.9610739580048949,0.039531833269951834,1.4967104971748728,False,0,0.04620003002430198,0.02380952380952366,0.3985855670217047,0.0029581412233598363,0.9592405899147458,0,99920,0.0,0,0,2500,22500,12.655392299999221,"{""coast"": 2498, ""radial_inward"": 1, ""retrograde"": 1}","{""coast"": 2498, ""radial_inward"": 1, ""small_retrograde"": 1}",99.92,0.0,0.04,0.04,0.0,0.0,6.8e-05,1.236912082207553e-08,[],[]
baseline_h260_r40_recoverability_base,baseline,260,40,recoverability,baseline,0,baseline_h260_r40_recoverability_base,1.0,150.0,12000.0,1.0,True,True,True,True,-39.80874820360246,-4852.3106761866475,-0.009462129762191896,-1.1533443108967762,-1244.0107421875,False,0.9340300045979194,0.03135376273812549,False,4,55,51.9462890625,217.6943359375,21.73237089833826,270,True,False,success,phase76_handoff,"{""phase76_handoff"": 55}",0.0,5.8064900861706823e-11,0.8660254037844387,1.000000000000005,1.0000000000000049,False,0,4.690833186853781e-07,0.0,5.8064900861706823e-11,0.13397459621556124,2.9032625308901102e-11,0,0,0.0,0,0,0,0,0.005564200000662822,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[]
baseline_h260_r40_recoverability_base,baseline,260,40,recoverability,baseline,0,baseline_h260_r40_recoverability_base,1.02,170.0,10000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,101729350874.55957,101729350874.55957,4838.9773927922815,100000,False,True,max_steps,coast,"{""coast"": 99920, ""predictive_descent"": 80}",0.01960784313725499,0.35285986933378966,0.9751049769494176,0.05365873912033832,1.503874307863091,False,0,0.01655381925165146,0.009803921568627649,0.34638846802712764,0.010280457151176597,0.9458806923893647,0,99920,0.0,0,0,2500,22500,12.721717500000523,"{""coast"": 2498, ""radial_inward"": 1, ""retrograde"": 1}","{""coast"": 2498, ""radial_inward"": 1, ""small_retrograde"": 1}",99.92,0.0,0.04,0.04,0.0,0.0,6.8e-05,1.2339186630239141e-08,[],[]
