phase,controller_name,state_type,case_id,r0_over_target,initial_velocity_angle_deg,thrust_scale,target_radius_scale,r_error_ratio,vr_ratio,vt_error_ratio,energy_error_ratio,angular_momentum_error_ratio,crossing_direction,overspeed,handoff_entered,capture_entered,success,recoverable_original,distance_to_recoverable,dominant_failure_variable,failure_cluster,source_note
phase22,phase22_two_burn_transfer,radius_crossing,r0=1|angle=165|thrust=12000|target=1,1.0,165.0,12000.0,1.0,-7.7303515625e-11,-0.0069845823583089784,-0.9012257740911267,-0.9901948679053829,-0.9012257740911267,inbound,False,True,True,True,False,3.621779577911722,tangential_velocity,radius_close_but_vt_bad,crossing state reconstructed from crossing vr/vt/r fields
phase22,phase22_two_burn_transfer,insertion_window_uninstrumented,r0=0.98|angle=170|thrust=12000|target=1,0.98,170.0,12000.0,1.0,,,,,,,False,True,False,False,False,,radius,uninstrumented_window,prior phase recorded insertion-window count but not state geometry
phase22,phase22_two_burn_transfer,insertion_window_uninstrumented,r0=0.98|angle=170|thrust=12000|target=1,0.98,170.0,12000.0,1.0,,,,,,,False,True,False,False,False,,radius,uninstrumented_window,prior phase recorded insertion-window count but not state geometry
phase22,phase22_two_burn_transfer,radius_crossing,r0=1|angle=170|thrust=12000|target=1,1.0,170.0,12000.0,1.0,-1.4031861979166667e-10,-0.007154283714171683,-0.6067225452351612,-0.8452816597982273,-0.6067225452351612,inbound,False,True,True,True,False,2.4531113690583384,tangential_velocity,energy_mismatch,crossing state reconstructed from crossing vr/vt/r fields
phase22,phase22_two_burn_transfer,insertion_window_uninstrumented,r0=0.98|angle=175|thrust=12000|target=1,0.98,175.0,12000.0,1.0,,,,,,,False,True,False,False,False,,radius,uninstrumented_window,prior phase recorded insertion-window count but not state geometry
phase22,phase22_two_burn_transfer,insertion_window_uninstrumented,r0=0.98|angle=175|thrust=12000|target=1,0.98,175.0,12000.0,1.0,,,,,,,False,True,False,False,False,,radius,uninstrumented_window,prior phase recorded insertion-window count but not state geometry
phase22,phase22_two_burn_transfer,radius_crossing,r0=1|angle=175|thrust=12000|target=1,1.0,175.0,12000.0,1.0,-6.876559895833333e-10,-0.016145189110617915,-0.6138817616273774,-0.8506520388646049,-0.6138817616273774,inbound,False,True,True,True,False,2.584817383236934,tangential_velocity,energy_mismatch,crossing state reconstructed from crossing vr/vt/r fields
phase23,phase23_windowed_insertion_solver,insertion_window_uninstrumented,r0=0.98|angle=150|thrust=8000|target=1,0.98,150.0,8000.0,1.0,,,,,,,False,True,False,False,False,,radius,uninstrumented_window,prior phase recorded insertion-window count but not state geometry
phase23,phase23_windowed_insertion_solver,insertion_window_uninstrumented,r0=0.98|angle=150|thrust=8000|target=1,0.98,150.0,8000.0,1.0,,,,,,,False,True,False,False,False,,radius,uninstrumented_window,prior phase recorded insertion-window count but not state geometry
phase23,phase23_windowed_insertion_solver,radius_crossing,r0=1|angle=150|thrust=8000|target=1,1.0,150.0,8000.0,1.0,-1.9467604166666666e-10,-0.005988015668111895,-0.7800950243010297,-0.9516059453311938,-0.7800950243010297,inbound,False,True,True,True,False,3.134710956393185,tangential_velocity,radius_close_but_vt_bad,crossing state reconstructed from crossing vr/vt/r fields
phase23,phase23_windowed_insertion_solver,insertion_window_uninstrumented,r0=0.98|angle=165|thrust=8000|target=1,0.98,165.0,8000.0,1.0,,,,,,,False,True,False,False,False,,radius,uninstrumented_window,prior phase recorded insertion-window count but not state geometry
phase23,phase23_windowed_insertion_solver,insertion_window_uninstrumented,r0=0.98|angle=165|thrust=8000|target=1,0.98,165.0,8000.0,1.0,,,,,,,False,True,False,False,False,,radius,uninstrumented_window,prior phase recorded insertion-window count but not state geometry
phase23,phase23_windowed_insertion_solver,radius_crossing,r0=1|angle=165|thrust=8000|target=1,1.0,165.0,8000.0,1.0,-3.5278919270833335e-10,-0.020933166025926386,-0.7471762106990555,-0.9356419341236426,-0.7471762106990554,inbound,False,True,True,True,False,3.1666781075799455,tangential_velocity,energy_mismatch,crossing state reconstructed from crossing vr/vt/r fields
phase23,phase23_windowed_insertion_solver,insertion_window_uninstrumented,r0=0.98|angle=170|thrust=8000|target=1,0.98,170.0,8000.0,1.0,,,,,,,False,True,False,False,False,,radius,uninstrumented_window,prior phase recorded insertion-window count but not state geometry
phase23,phase23_windowed_insertion_solver,insertion_window_uninstrumented,r0=0.98|angle=170|thrust=8000|target=1,0.98,170.0,8000.0,1.0,,,,,,,False,True,False,False,False,,radius,uninstrumented_window,prior phase recorded insertion-window count but not state geometry
phase23,phase23_windowed_insertion_solver,radius_crossing,r0=1|angle=170|thrust=8000|target=1,1.0,170.0,8000.0,1.0,-2.920735677083333e-10,-0.006324852049514541,-0.911636861908399,-0.9921519520731563,-0.911636861908399,inbound,False,True,True,True,False,3.6602346470497937,tangential_velocity,radius_close_but_vt_bad,crossing state reconstructed from crossing vr/vt/r fields
phase23,phase23_windowed_insertion_solver,insertion_window_uninstrumented,r0=0.98|angle=175|thrust=8000|target=1,0.98,175.0,8000.0,1.0,,,,,,,False,True,False,False,False,,radius,uninstrumented_window,prior phase recorded insertion-window count but not state geometry
phase23,phase23_windowed_insertion_solver,insertion_window_uninstrumented,r0=0.98|angle=175|thrust=8000|target=1,0.98,175.0,8000.0,1.0,,,,,,,False,True,False,False,False,,radius,uninstrumented_window,prior phase recorded insertion-window count but not state geometry
phase23,phase23_windowed_insertion_solver,radius_crossing,r0=1|angle=175|thrust=8000|target=1,1.0,175.0,8000.0,1.0,-6.0556640625e-11,-0.00839807571601849,-0.8175888886362344,-0.9666556587753037,-0.8175888886362344,inbound,False,True,True,True,False,3.2972025479901705,tangential_velocity,radius_close_but_vt_bad,crossing state reconstructed from crossing vr/vt/r fields
phase23,phase23_windowed_insertion_solver,insertion_window_uninstrumented,r0=0.98|angle=150|thrust=10000|target=1,0.98,150.0,10000.0,1.0,,,,,,,False,True,False,False,False,,radius,uninstrumented_window,prior phase recorded insertion-window count but not state geometry
phase23,phase23_windowed_insertion_solver,insertion_window_uninstrumented,r0=0.98|angle=150|thrust=10000|target=1,0.98,150.0,10000.0,1.0,,,,,,,False,True,False,False,False,,radius,uninstrumented_window,prior phase recorded insertion-window count but not state geometry
phase23,phase23_windowed_insertion_solver,radius_crossing,r0=1|angle=150|thrust=10000|target=1,1.0,150.0,10000.0,1.0,-7.30203125e-11,-0.0014919024394221608,-0.9570671553015822,-0.9981545450732129,-0.9570671553015822,inbound,False,True,True,True,False,3.828995307954149,tangential_velocity,radius_close_but_vt_bad,crossing state reconstructed from crossing vr/vt/r fields
phase23,phase23_windowed_insertion_solver,insertion_window_uninstrumented,r0=0.98|angle=165|thrust=10000|target=1,0.98,165.0,10000.0,1.0,,,,,,,False,True,False,False,False,,radius,uninstrumented_window,prior phase recorded insertion-window count but not state geometry
phase23,phase23_windowed_insertion_solver,insertion_window_uninstrumented,r0=0.98|angle=165|thrust=10000|target=1,0.98,165.0,10000.0,1.0,,,,,,,False,True,False,False,False,,radius,uninstrumented_window,prior phase recorded insertion-window count but not state geometry
phase23,phase23_windowed_insertion_solver,radius_crossing,r0=1|angle=165|thrust=10000|target=1,1.0,165.0,10000.0,1.0,-6.5148046875e-11,-0.0021129824297496515,-0.9494879445402064,-0.9974440675584783,-0.9494879445402064,inbound,False,True,True,True,False,3.79942093563033,tangential_velocity,radius_close_but_vt_bad,crossing state reconstructed from crossing vr/vt/r fields
phase23,phase23_windowed_insertion_solver,insertion_window_uninstrumented,r0=0.98|angle=170|thrust=10000|target=1,0.98,170.0,10000.0,1.0,,,,,,,False,True,False,False,False,,radius,uninstrumented_window,prior phase recorded insertion-window count but not state geometry
phase23,phase23_windowed_insertion_solver,insertion_window_uninstrumented,r0=0.98|angle=170|thrust=10000|target=1,0.98,170.0,10000.0,1.0,,,,,,,False,True,False,False,False,,radius,uninstrumented_window,prior phase recorded insertion-window count but not state geometry
phase23,phase23_windowed_insertion_solver,radius_crossing,r0=1|angle=170|thrust=10000|target=1,1.0,170.0,10000.0,1.0,-5.782188541666666e-09,-0.1492219516037754,-0.7309675543558039,-0.9053543523502632,-0.7309675543558037,inbound,False,True,True,True,False,8.013550658069029,radial_velocity,radius_close_but_vr_bad,crossing state reconstructed from crossing vr/vt/r fields
phase23,phase23_windowed_insertion_solver,insertion_window_uninstrumented,r0=0.98|angle=175|thrust=10000|target=1,0.98,175.0,10000.0,1.0,,,,,,,False,True,False,False,False,,radius,uninstrumented_window,prior phase recorded insertion-window count but not state geometry
phase23,phase23_windowed_insertion_solver,insertion_window_uninstrumented,r0=0.98|angle=175|thrust=10000|target=1,0.98,175.0,10000.0,1.0,,,,,,,False,True,False,False,False,,radius,uninstrumented_window,prior phase recorded insertion-window count but not state geometry
phase23,phase23_windowed_insertion_solver,radius_crossing,r0=1|angle=175|thrust=10000|target=1,1.0,175.0,10000.0,1.0,-5.35978515625e-10,-0.017960415068522723,-0.7254159010011462,-0.924280996067554,-0.7254159010011462,inbound,False,True,True,True,False,3.037448426622083,tangential_velocity,energy_mismatch,crossing state reconstructed from crossing vr/vt/r fields
phase23,phase23_windowed_insertion_solver,insertion_window_uninstrumented,r0=0.98|angle=150|thrust=12000|target=1,0.98,150.0,12000.0,1.0,,,,,,,False,True,False,False,False,,radius,uninstrumented_window,prior phase recorded insertion-window count but not state geometry
phase23,phase23_windowed_insertion_solver,insertion_window_uninstrumented,r0=0.98|angle=150|thrust=12000|target=1,0.98,150.0,12000.0,1.0,,,,,,,False,True,False,False,False,,radius,uninstrumented_window,prior phase recorded insertion-window count but not state geometry
phase23,phase23_windowed_insertion_solver,radius_crossing,r0=1|angle=150|thrust=12000|target=1,1.0,150.0,12000.0,1.0,-4.908390625e-10,-0.019133667779626447,-0.7252791884998071,-0.9241623784859745,-0.7252791884998071,inbound,False,True,True,True,False,3.0547866581952734,tangential_velocity,energy_mismatch,crossing state reconstructed from crossing vr/vt/r fields
phase23,phase23_windowed_insertion_solver,insertion_window_uninstrumented,r0=0.98|angle=165|thrust=12000|target=1,0.98,165.0,12000.0,1.0,,,,,,,False,True,False,False,False,,radius,uninstrumented_window,prior phase recorded insertion-window count but not state geometry
phase23,phase23_windowed_insertion_solver,insertion_window_uninstrumented,r0=0.98|angle=165|thrust=12000|target=1,0.98,165.0,12000.0,1.0,,,,,,,False,True,False,False,False,,radius,uninstrumented_window,prior phase recorded insertion-window count but not state geometry
phase23,phase23_windowed_insertion_solver,radius_crossing,r0=1|angle=165|thrust=12000|target=1,1.0,165.0,12000.0,1.0,-7.7303515625e-11,-0.0069845823583089784,-0.9012257740911267,-0.9901948679053829,-0.9012257740911267,inbound,False,True,True,True,False,3.621779577911722,tangential_velocity,radius_close_but_vt_bad,crossing state reconstructed from crossing vr/vt/r fields
phase23,phase23_windowed_insertion_solver,insertion_window_uninstrumented,r0=0.98|angle=170|thrust=12000|target=1,0.98,170.0,12000.0,1.0,,,,,,,False,True,False,False,False,,radius,uninstrumented_window,prior phase recorded insertion-window count but not state geometry
phase23,phase23_windowed_insertion_solver,insertion_window_uninstrumented,r0=0.98|angle=170|thrust=12000|target=1,0.98,170.0,12000.0,1.0,,,,,,,False,True,False,False,False,,radius,uninstrumented_window,prior phase recorded insertion-window count but not state geometry
phase23,phase23_windowed_insertion_solver,radius_crossing,r0=1|angle=170|thrust=12000|target=1,1.0,170.0,12000.0,1.0,-1.4031861979166667e-10,-0.007154283714171683,-0.6067225452351612,-0.8452816597982273,-0.6067225452351612,inbound,False,True,True,True,False,2.4531113690583384,tangential_velocity,energy_mismatch,crossing state reconstructed from crossing vr/vt/r fields
phase23,phase23_windowed_insertion_solver,insertion_window_uninstrumented,r0=0.98|angle=175|thrust=12000|target=1,0.98,175.0,12000.0,1.0,,,,,,,False,True,False,False,False,,radius,uninstrumented_window,prior phase recorded insertion-window count but not state geometry
phase23,phase23_windowed_insertion_solver,insertion_window_uninstrumented,r0=0.98|angle=175|thrust=12000|target=1,0.98,175.0,12000.0,1.0,,,,,,,False,True,False,False,False,,radius,uninstrumented_window,prior phase recorded insertion-window count but not state geometry
phase23,phase23_windowed_insertion_solver,radius_crossing,r0=1|angle=175|thrust=12000|target=1,1.0,175.0,12000.0,1.0,-6.876559895833333e-10,-0.016145189110617915,-0.6138817616273774,-0.8506520388646049,-0.6138817616273774,inbound,False,True,True,True,False,2.584817383236934,tangential_velocity,energy_mismatch,crossing state reconstructed from crossing vr/vt/r fields
phase24,phase24_precision_insertion_geometry,insertion_window_pre_burn,r0=0.98|angle=150|thrust=8000|target=1,0.98,150.0,8000.0,1.0,-0.01999946748038763,0.49525942384523597,0.20177165852883766,0.6487217985732481,0.17773686532523883,outbound,False,True,False,False,False,26.035604909884626,radial_velocity,energy_mismatch,instrumented insertion geometry state
phase24,phase24_precision_insertion_geometry,insertion_window_post_burn,r0=0.98|angle=150|thrust=8000|target=1,0.98,150.0,8000.0,1.0,-0.01999665757523034,0.01168215479420565,0.006626207101218585,-0.027376572505996382,-0.01350295246843733,outbound,False,True,False,False,False,8.020005899404373,radius,speed_good_but_radius_bad,instrumented insertion geometry state
phase24,phase24_precision_insertion_geometry,radius_crossing,r0=1|angle=150|thrust=8000|target=1,1.0,150.0,8000.0,1.0,-1.9467604166666666e-10,-0.005988015668111895,-0.7800950243010297,-0.9516059453311938,-0.7800950243010297,inbound,False,True,True,True,False,3.134710956393185,tangential_velocity,radius_close_but_vt_bad,crossing state reconstructed from crossing vr/vt/r fields
phase24,phase24_precision_insertion_geometry,insertion_window_pre_burn,r0=0.98|angle=165|thrust=8000|target=1,0.98,165.0,8000.0,1.0,-0.01999972434845573,0.25636376674700956,0.302795077885787,0.7221816433682448,0.2767395354455463,outbound,False,True,False,False,False,15.158203912110816,radial_velocity,energy_mismatch,instrumented insertion geometry state
phase24,phase24_precision_insertion_geometry,insertion_window_post_burn,r0=0.98|angle=165|thrust=8000|target=1,0.98,165.0,8000.0,1.0,-0.01999881348315768,-0.009206053931697138,0.03205050707941133,0.024399144938813854,0.011410721483131934,inbound,False,True,False,False,False,8.013783179623013,radius,speed_good_but_radius_bad,instrumented insertion geometry state
phase24,phase24_precision_insertion_geometry,radius_crossing,r0=1|angle=165|thrust=8000|target=1,1.0,165.0,8000.0,1.0,-3.5278919270833335e-10,-0.020933166025926386,-0.7471762106990555,-0.9356419341236426,-0.7471762106990554,inbound,False,True,True,True,False,3.1666781075799455,tangential_velocity,energy_mismatch,crossing state reconstructed from crossing vr/vt/r fields
phase24,phase24_precision_insertion_geometry,insertion_window_pre_burn,r0=0.98|angle=170|thrust=8000|target=1,0.98,170.0,8000.0,1.0,-0.019999815058560286,0.17200080752843205,0.32189075812932055,0.7361635128216514,0.29545318743911425,outbound,False,True,False,False,False,11.815977717440283,radial_velocity,energy_mismatch,instrumented insertion geometry state
phase24,phase24_precision_insertion_geometry,insertion_window_post_burn,r0=0.98|angle=170|thrust=8000|target=1,0.98,170.0,8000.0,1.0,-0.019999207701126953,-0.0022339045416812408,0.03946887569268149,0.0396858572665416,0.018680321748846627,inbound,False,True,False,False,False,8.002020362744585,radius,speed_good_but_radius_bad,instrumented insertion geometry state
phase24,phase24_precision_insertion_geometry,radius_crossing,r0=1|angle=170|thrust=8000|target=1,1.0,170.0,8000.0,1.0,-2.920735677083333e-10,-0.006324852049514541,-0.911636861908399,-0.9921519520731563,-0.911636861908399,inbound,False,True,True,True,False,3.6602346470497937,tangential_velocity,radius_close_but_vt_bad,crossing state reconstructed from crossing vr/vt/r fields
phase24,phase24_precision_insertion_geometry,insertion_window_pre_burn,r0=0.98|angle=175|thrust=8000|target=1,0.98,175.0,8000.0,1.0,-0.01999990717603047,0.08632907049245486,0.3334069574852493,0.7446106894542571,0.3067389421076711,outbound,False,True,False,False,False,9.187477354910587,radius,energy_mismatch,instrumented insertion geometry state
phase24,phase24_precision_insertion_geometry,insertion_window_post_burn,r0=0.98|angle=175|thrust=8000|target=1,0.98,175.0,8000.0,1.0,-0.019999429491678777,-0.0078095962048642335,0.015196607554172245,-0.010129996684945183,-0.005106745418798967,inbound,False,True,False,False,False,8.009526719546356,radius,speed_good_but_radius_bad,instrumented insertion geometry state
phase24,phase24_precision_insertion_geometry,radius_crossing,r0=1|angle=175|thrust=8000|target=1,1.0,175.0,8000.0,1.0,-6.0556640625e-11,-0.00839807571601849,-0.8175888886362344,-0.9666556587753037,-0.8175888886362344,inbound,False,True,True,True,False,3.2972025479901705,tangential_velocity,radius_close_but_vt_bad,crossing state reconstructed from crossing vr/vt/r fields
phase24,phase24_precision_insertion_geometry,insertion_window_pre_burn,r0=0.98|angle=150|thrust=10000|target=1,0.98,150.0,10000.0,1.0,-0.01999946891827474,0.4928335804732481,0.28351110033878657,0.8494704621631978,0.2578415599813004,outbound,False,True,False,False,False,25.93250861238717,radial_velocity,energy_mismatch,instrumented insertion geometry state
phase24,phase24_precision_insertion_geometry,insertion_window_post_burn,r0=0.98|angle=150|thrust=10000|target=1,0.98,150.0,10000.0,1.0,-0.019996771802494533,0.01172321581473077,0.01070874115957013,-0.019140010696973502,-0.00950217089618429,outbound,False,True,False,False,False,8.020271847646994,radius,speed_good_but_radius_bad,instrumented insertion geometry state
phase24,phase24_precision_insertion_geometry,radius_crossing,r0=1|angle=150|thrust=10000|target=1,1.0,150.0,10000.0,1.0,-7.30203125e-11,-0.0014919024394221608,-0.9570671553015822,-0.9981545450732129,-0.9570671553015822,inbound,False,True,True,True,False,3.828995307954149,tangential_velocity,radius_close_but_vt_bad,crossing state reconstructed from crossing vr/vt/r fields
phase24,phase24_precision_insertion_geometry,insertion_window_pre_burn,r0=0.98|angle=165|thrust=10000|target=1,0.98,165.0,10000.0,1.0,-0.019999725092979037,0.2551077222901433,0.38456103734047686,0.9412734620470542,0.35687019721921753,outbound,False,True,False,False,False,15.134870683305028,radial_velocity,energy_mismatch,instrumented insertion geometry state
phase24,phase24_precision_insertion_geometry,insertion_window_post_burn,r0=0.98|angle=165|thrust=10000|target=1,0.98,165.0,10000.0,1.0,-0.01999830871874349,-0.0016486249711942858,0.058772999396577014,0.08019017771393208,0.03759933009157425,inbound,False,True,False,False,False,8.003201822751675,radius,speed_good_but_radius_bad,instrumented insertion geometry state
phase24,phase24_precision_insertion_geometry,radius_crossing,r0=1|angle=165|thrust=10000|target=1,1.0,165.0,10000.0,1.0,-6.5148046875e-11,-0.0021129824297496515,-0.9494879445402064,-0.9974440675584783,-0.9494879445402064,inbound,False,True,True,True,False,3.79942093563033,tangential_velocity,radius_close_but_vt_bad,crossing state reconstructed from crossing vr/vt/r fields
phase24,phase24_precision_insertion_geometry,insertion_window_pre_burn,r0=0.98|angle=170|thrust=10000|target=1,0.98,170.0,10000.0,1.0,-0.019999815558097916,0.17115808320313208,0.40366208394382785,0.9587463929105391,0.3755891011590561,outbound,False,True,False,False,False,11.825549984669523,radial_velocity,energy_mismatch,instrumented insertion geometry state
phase24,phase24_precision_insertion_geometry,insertion_window_post_burn,r0=0.98|angle=170|thrust=10000|target=1,0.98,170.0,10000.0,1.0,-0.01999922690214427,-0.013005356712609406,0.05416332869546123,0.07061474628735531,0.03308087709296096,inbound,False,True,False,False,False,8.028999887047807,radius,speed_good_but_radius_bad,instrumented insertion geometry state
