controller_name,r0_over_target,initial_velocity_angle_deg,thrust_scale,target_radius_scale,success,capture_entered,lock_entered,crossing_occurs,crossing_vr,crossing_vt_error,crossing_vr_ratio,crossing_vt_error_ratio,crossing_radius_error,recoverable_crossing,crossing_score,recoverability_score,near_miss,radius_crossings_total,first_crossing_step,minimum_abs_radius_error,final_radius_error,tail_mean_abs_vr,steps,terminated,truncated,termination_reason,dominant_transfer_stage,transfer_stage_counts_json,intercept_classification_counts_json,initial_energy_error_ratio,final_energy_error_ratio,initial_angular_momentum_error_ratio,final_angular_momentum_error_ratio,mean_energy_error_ratio,mean_angular_momentum_error_ratio,max_speed_ratio,overspeed,turning_point_count,burn_a_steps,burn_b_steps,coast_arc_steps,safe_coast_steps,burn_a_count,burn_b_count,insertion_attempts,insertion_windows,successful_insertion_windows,handoff_ready_count,handoff_entered,handoff_rate,predicted_crossing_step,burn_b_solver_evals,burn_b_solver_score,insertion_window_conversion_rate,chosen_burn_timing,chosen_burn_angle_deg,chosen_burn_magnitude,chosen_burn_duration,chosen_insertion_mode,pre_burn_state_json,post_burn_state_json,basin_score,handoff_success,controller_variant,sync_strategy,initial_vt_error_ratio,final_vt_error_ratio,min_abs_vt_error_ratio,mean_abs_vt_error_ratio,best_vt_error_before_crossing,best_vt_band,best_vt_band_rank,crossing_vt_band,min_distance_to_recoverable,mean_distance_to_recoverable,pre_burn_vt_error_ratio,post_burn_vt_error_ratio,pre_post_burn_vt_correction,vt_improvement_burn_a_to_b,sync_error_at_crossing,best_sync_error,best_pre_cross_sync_window,best_sync_band,best_sync_band_rank,crossing_sync_band,predicted_crossing_step_at_burn,actual_crossing_step,timing_offset_steps,predicted_crossing_vt_error_ratio,actual_crossing_vt_error_ratio,predicted_crossing_sync_error,sync_burn_steps,sync_hold_steps,sync_stage_counts_json,instability
baseline_soft_linear_3e4,0.98,165.0,10000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,149999885100.2578,151200471057.4287,98.49538074975737,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",{},0.020408163265306076,1.0406937225256263,-0.024267568725401145,-0.9788539069733644,,,0.6809424066525582,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_soft_linear_3e4,1.0,165.0,10000.0,1.0,True,True,True,True,-44.60852682385054,-3025.2685757801814,-0.010602987744017904,-0.7190752063618795,-2523.248046875,False,0.5879837507187582,0.01630347108872191,False,1,41,1109.8916015625,1452.48828125,20.02351591027418,257,True,False,success,soft_window,"{""soft_window"": 41}",{},2.104654818683916e-16,3.8731520650728185e-10,-0.03407417371093191,5.995204332975845e-15,,,1.000000000000006,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.876300825447518,2.876300825447518,2.876300825447518,C_3x,1,C_3x,,41,,,-0.7190752063618795,,,,,
baseline_soft_linear_3e4,1.02,165.0,10000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,149785381703.07617,151656909491.87305,422.0336496820377,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",{},0.019607843137254777,0.9603450572017151,-0.04359091640216495,-0.9969946300620139,,,0.6609374062394391,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_soft_linear_3e4,1.05,165.0,10000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,375000070417.7031,377230357181.69336,295.67407237481086,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",{},0.04761904761904765,0.9040402355228755,-0.057352915661626036,-0.9878120631528458,,,0.646689936997324,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_soft_linear_3e4,0.98,170.0,10000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,149999922910.91016,150679843258.92676,38.23173254753143,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",{},0.020408163265306496,1.0405272805422932,-0.005193942399973062,-0.9781703975483116,,,0.6809424116272625,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_soft_linear_3e4,1.0,170.0,10000.0,1.0,True,True,True,True,-14.98621570953258,-4062.7001351939803,-0.0035620692457484443,-0.9656620114621247,-1402.0849609375,False,0.7768040924515426,0.02687945836559521,False,1,26,96.537109375,1044.1005859375,8.944379745003824,243,True,False,success,soft_window,"{""soft_window"": 26}",{},2.104654818683916e-16,2.7841236850026503e-10,-0.01519224698779198,5.773159728050814e-15,,,1.0000000000000058,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.862648045848499,3.862648045848499,3.862648045848499,outside_3x,0,outside_3x,,26,,,-0.9656620114621247,,,,,
baseline_soft_linear_3e4,1.02,170.0,10000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,149903420693.5078,152042149718.04883,435.350399634015,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",{},0.01960784313725499,0.9602439145955881,-0.024895023050582443,-0.9968140561848233,,,0.660937410831621,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_soft_linear_3e4,1.05,170.0,10000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,375000047244.99414,376723920502.0879,245.09233299130722,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",{},0.047619047619047436,0.904173429199429,-0.038926041995105076,-0.9877684143080272,,,0.6466899413308445,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_soft_linear_3e4,0.98,175.0,10000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,149999961308.2578,150158652999.47363,21.693906402381284,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",{},0.020408163265306287,1.0403600897449736,0.006308609146797872,-0.9776460308871338,,,0.6809424166791579,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_soft_linear_3e4,1.0,175.0,10000.0,1.0,True,True,True,True,-79.19029577566481,-3603.0741488999756,-0.01882271833073839,-0.8564136446924371,-4727.6806640625,False,0.7077181783811932,0.021957297513013917,False,1,7,2218.6337890625,2824.8642578125,3.50178163891905,224,True,False,success,soft_window,"{""soft_window"": 7}",{},2.104654818683916e-16,7.532826887231708e-10,-0.003805301908254566,5.773159728050814e-15,,,1.0000000000000058,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4256545787697483,3.4256545787697483,3.4256545787697483,outside_3x,0,outside_3x,,7,,,-0.8564136446924371,,,,,
