controller,task_id,SR_ep,return,steps,r_err,v_err,align,fuel_used,violations,success,ended_by_max,ended_by_violation,target_radius,e,mass,thrust_limit
zero,random_19,0.0,3034.6214060994976,30000,0.14430860255698671,0.032692642181601436,0.9607843817350795,0.0,0,False,1,0,1524598267174.8235,0.10591957606788288,720.0,104.15080910483258
zero,random_20,0.0,4237.760331972714,30000,0.05722899499110322,0.0034676543814674927,0.9999463782713677,0.0,0,False,1,0,5555269280203.029,0.06768296923676101,600.0,109.29750482012459
greedy_energy_rt,fixed_1,1.0,108.5364432253971,6949,0.010517337815500977,0.006278917594853166,0.9898069355824485,2504592.873450242,0,True,0,0,500000000000.0,0.0,720.0,1.0
greedy_energy_rt,fixed_2,1.0,1183.0462008799975,8787,0.011203859673496791,0.028166766666918898,0.9960903530495602,206506.8175558913,0,True,0,0,700000000000.0,0.2,720.0,1.0
greedy_energy_rt,fixed_3,1.0,-1685.2646017726186,20681,0.011508015035773438,0.016868348618215304,0.9936165183122184,4930696.500189667,0,True,0,0,500000000000.0,0.05,720.0,0.4
greedy_energy_rt,fixed_4,1.0,754.8319227235904,8021,0.012980449606516845,0.00510355466202465,0.9978986344674731,2312926.348837691,0,True,0,0,500000000000.0,0.1,1000.0,1.0
greedy_energy_rt,fixed_5,1.0,2135.2972099647563,21862,0.014346095431266113,0.02563238632517557,0.9865410909711477,1303269.5059982126,0,True,0,0,2000000000000.0,0.0,720.0,1.0
greedy_energy_rt,random_1,0.0,824.8709023554568,30000,0.07042736157807976,0.07636390622859003,0.9879377561851668,1067624.1141017822,0,False,1,0,2758007604077.5684,0.3549670093467783,720.0,125.1339032040029
greedy_energy_rt,random_2,1.0,1417.1564474386812,10201,0.014467570527453582,0.0011641988673000096,0.9860135128410508,1000671.0349194217,0,True,0,0,2283613939176.9795,0.1376694853326321,720.0,118.19171041002261
greedy_energy_rt,random_3,0.0,5052.911756715521,30000,0.018143925371730207,0.025645113279810762,0.999979315497672,0.0,0,False,1,0,3071390189122.923,0.1171889361969364,600.0,147.310722359482
greedy_energy_rt,random_4,1.0,-561.7074284626774,1216,0.007154647872907751,0.025036830835026815,0.9800682809884727,3389665.7563628335,0,True,0,0,217125853670.938,0.1661797953188444,720.0,120.70726140815057
greedy_energy_rt,random_5,0.0,4574.334521387858,30000,0.019808894107415907,0.0037864832631565814,0.985905743551143,826540.9573552777,0,False,1,0,5895360802427.848,0.042350751269788,1000.0,126.95937157367302
greedy_energy_rt,random_6,0.0,2095.8803911547816,30000,0.060497143986170794,0.06753662532566894,0.9877369982214665,1575895.211561048,0,False,1,0,4902550455020.217,0.2876436621281773,1000.0,101.9390928708895
greedy_energy_rt,random_7,1.0,-805.0957848697117,3339,0.006497253113845916,0.018190708887503695,0.9863956406100141,4924713.832287991,0,True,0,0,361239700959.1134,0.21579368902590268,720.0,123.46694018390126
greedy_energy_rt,random_8,0.0,4570.861993988876,30000,0.02303391469724792,0.027598223028838468,0.9995880632209218,0.0,0,False,1,0,1935904675189.3079,0.24882362801204932,1000.0,136.04283537258792
greedy_energy_rt,random_9,1.0,1103.811545380734,16289,0.013779132030821432,0.0018438397382615896,0.9860222182636692,2145390.1723024407,0,True,0,0,1316583984185.8306,0.36547417103096513,1000.0,136.11074468850524
greedy_energy_rt,random_10,1.0,2980.3710102028754,20528,0.014803930837992061,0.026681410617200505,0.9867088905560462,590504.6737108706,0,True,0,0,4447038821287.577,0.30751425770444013,600.0,126.70678543252708
greedy_energy_rt,random_11,0.0,-412.2581312456015,30000,0.1160892090412916,0.08910232820080663,0.9831165455631192,2155858.315541813,0,False,1,0,3687329230186.867,0.32200928760372927,1000.0,139.47896796974567
