controller_name,case_id,r0_over_target,initial_velocity_angle_deg,thrust_scale,candidate_id,selected,duration,norm,radial_bias,tangential_bias,endpoint_score,endpoint_radius_ratio,endpoint_vr_ratio,endpoint_vt_error_ratio,endpoint_energy_error_ratio,endpoint_angular_momentum_error_ratio,endpoint_eccentricity_proxy,endpoint_periapsis_ratio,endpoint_apoapsis_ratio,endpoint_orbit_crosses_target,endpoint_predicted_crossing_step,preview_crossing,preview_crossing_step,preview_sync_error,preview_distance_to_recoverable,preview_min_radius_error_ratio,preview_vr_ratio,preview_vt_error_ratio,overspeed,instability
phase30_endpoint_grid_search,phase30_endpoint_grid_search|r0=0.98|angle=150|thrust=8000|target=1,0.98,150.0,8000.0,22,False,8,0.1,0.08,1.0,15.523906009267016,0.9800002309014969,0.5218781361872935,0.08484100654559519,0.4084209528268912,0.06314443690609556,0.5756321268240581,0.7173477072993133,2.6634346404817717,True,683168,False,,26.093907257190267,27.29407064514954,0.01999274307541172,0.5218802856770929,0.0848332289317981,False,False
phase30_endpoint_grid_search,phase30_endpoint_grid_search|r0=0.98|angle=150|thrust=8000|target=1,0.98,150.0,8000.0,23,False,8,0.1,0.08,-0.3,16.030851997497518,0.9800002403641115,0.5593641690820422,-0.328762787570213,-0.2773681569773777,-0.3421873704774726,0.6687753743225173,0.25930239756504964,1.30641692076568,True,637385,False,,27.96781703604943,29.11835295596365,0.01999222900811172,0.5593563407209886,-0.3287679455268602,False,False
phase30_endpoint_grid_search,phase30_endpoint_grid_search|r0=0.98|angle=150|thrust=8000|target=1,0.98,150.0,8000.0,24,False,8,0.1,0.08,0.3,15.554753384881112,0.9800002403641405,0.5593643525786753,0.07839788899746561,0.43501465994927924,0.056830190425698056,0.6074318846695538,0.6948288521879238,2.8450860061700873,True,637385,False,,27.968218036868585,29.090810702164745,0.019992228939735547,0.5593663105896692,0.07838960223990847,False,False
phase30_endpoint_grid_search,phase30_endpoint_grid_search|r0=0.98|angle=150|thrust=8000|target=1,0.98,150.0,8000.0,25,False,18,0.05,-0.08,0.7,15.59934471799718,0.9800004956426951,0.4781621593630332,0.110315589986053,0.4206244656405436,0.08810982850614331,0.5603830987321332,0.7587771232934382,2.693215377927988,True,745617,False,,23.90810857602387,25.21418102469429,0.01999306687419492,0.47816507707516925,0.11030829652963371,False,False
phase30_endpoint_grid_search,phase30_endpoint_grid_search|r0=0.98|angle=150|thrust=8000|target=1,0.98,150.0,8000.0,26,False,18,0.05,-0.08,1.0,15.617222236893845,0.9800004999123422,0.4861741422549957,0.11109366556442549,0.43007914477390463,0.08887234770257368,0.5694535392631197,0.7554495624942108,2.7538096296555006,True,733329,False,,24.30870772556878,25.594389083310986,0.019992954739619793,0.48617708371021734,0.11108624470477031,False,False
phase30_endpoint_grid_search,phase30_endpoint_grid_search|r0=0.98|angle=150|thrust=8000|target=1,0.98,150.0,8000.0,27,False,18,0.05,-0.08,-0.3,16.298471197618884,0.9800004774384083,0.44400170104363285,-0.35421051585838315,-0.4266337639244813,-0.3671259972165122,0.6546686849107757,0.24206024266470702,1.159841247804903,True,802984,False,,22.19967061308867,23.63877231204281,0.019993545053790106,0.4439934122617734,-0.3542144548239485,False,False
phase30_endpoint_grid_search,phase30_endpoint_grid_search|r0=0.98|angle=150|thrust=8000|target=1,0.98,150.0,8000.0,28,False,18,0.05,-0.08,0.3,15.506511711273323,0.980000477438559,0.44400213684795453,0.103845194027027,0.3747967776204118,0.08176881716474524,0.5180466443490223,0.7708747146513631,2.42808512497933,True,802983,False,,22.200107409267236,23.60046604598422,0.01999354497366068,0.4440048577542619,0.10383846108000491,False,False
phase30_endpoint_grid_search,phase30_endpoint_grid_search|r0=0.98|angle=150|thrust=8000|target=1,0.98,150.0,8000.0,29,False,18,0.05,0.0,0.7,15.653698556002396,0.9800005099854232,0.5050762558880463,0.11184853333290357,0.45049392083237105,0.08961212969279032,0.5895730519039899,0.746901560611867,2.892730603293444,True,705884,False,,25.253813412023863,26.493695605485314,0.01999269018854375,0.5050792203923594,0.11184081872044518,False,False
phase30_endpoint_grid_search,phase30_endpoint_grid_search|r0=0.98|angle=150|thrust=8000|target=1,0.98,150.0,8000.0,30,False,18,0.05,0.0,1.0,15.653698556002396,0.9800005099854232,0.5050762558880463,0.11184853333290357,0.45049392083237105,0.08961212969279032,0.5895730519039899,0.746901560611867,2.892730603293444,True,705884,False,,25.253813412023863,26.493695605485314,0.01999269018854375,0.5050792203923594,0.11184081872044518,False,False
phase30_endpoint_grid_search,phase30_endpoint_grid_search|r0=0.98|angle=150|thrust=8000|target=1,0.98,150.0,8000.0,31,False,18,0.05,0.0,-0.3,16.258812635737417,0.9800005099852669,0.5050758048545715,-0.3622139132714944,-0.37894260343041614,-0.3749693097445569,0.6791889605332623,0.23265003102279333,1.2177366602177049,True,705885,False,,25.2533687476372,26.52894821486412,0.019992690271473566,0.505067374952744,-0.3622183385258791,False,False
