controller_name,transfer_family,case_label,qualitative_family_label,post_cross_mode,r0_over_target,initial_velocity_angle_deg,thrust_scale,target_radius_scale,crossing_occurs,recoverable_crossing,recoverable_state,first_crossing_step,crossing_vr_ratio,crossing_vt_error_ratio,crossing_sync_error,min_abs_radius_error,min_abs_radius_error_ratio,closest_approach_step,best_crossing_potential,crossing_potential_at_closest,best_post_cross_distance,best_post_cross_sync,radius_crossings_total,overspeed,instability,max_speed_ratio,steps,termination_reason,dominant_stage,radial_velocity_trend,final_radius_error_ratio,final_vr_ratio,final_vt_error_ratio
phase36a_transfer_family_visualization,energy_bleed_then_cross,representative_near_crossing,"early tangential energy bleed, later crossing commit",radius_priority,0.98,150.0,10000.0,1.0,False,False,False,,,,,149992186865.98535,0.019998958248798045,47,0.7735042654662273,0.31365837805975316,21.221077090761792,15.856374352039436,0,True,False,1.9300684505826808,47,overspeed,family_energy_bleed,same_direction_weakening,-0.019998940459365105,0.31712748704078875,-2.903836752691213
phase36a_transfer_family_visualization,energy_bleed_then_cross,representative_over_conservative_transfer,"early tangential energy bleed, later crossing commit",radius_priority,1.02,175.0,8000.0,1.0,False,False,False,,,,,150000000000.0,0.02,1,0.6984535440274389,0.6984535440274389,14.356859465383904,11.620835006650523,0,True,False,1.905951214867018,61,overspeed,family_energy_bleed,same_direction_weakening,0.020000233178958594,0.053194417387370616,-2.905208751662631
phase36a_transfer_family_visualization,overshoot_return,representative_crossing,controlled overshoot followed by return attempt,radius_priority,1.0,150.0,8000.0,1.0,False,False,False,,,,,0.0,0.0,1,0.7723102637391895,0.7720677359553495,83.20487854945056,83.204330342024,0,True,False,1.903645878502153,36,overspeed,family_overshoot_shape,same_direction_weakening,2.150550320703125e-06,1.6640866068404798,-0.07550911541953398
phase36a_transfer_family_visualization,overshoot_return,representative_near_crossing,controlled overshoot followed by return attempt,radius_priority,0.98,150.0,10000.0,1.0,False,False,False,,,,,149998850932.583,0.019999846791011067,12,0.7735042654662273,0.6336684922712883,84.260263880618,83.87936681401372,0,True,False,1.930243662161856,51,overspeed,family_overshoot_shape,same_direction_weakening,-0.020001738421470183,-1.6775873362802745,-0.0452532668460882
phase36a_transfer_family_visualization,overshoot_return,representative_over_conservative_transfer,controlled overshoot followed by return attempt,radius_priority,1.02,175.0,8000.0,1.0,False,False,False,,,,,150000000000.0,0.02,1,0.6984535440274389,0.6984535440274389,81.74252714031016,81.35002100906561,0,True,False,1.9062709564018234,45,overspeed,family_overshoot_shape,same_direction_weakening,0.020002205651142448,1.6270004201813124,-0.006652834125471979
phase36a_transfer_family_visualization,grazing_corridor,representative_crossing,near-target loiter with soft crossing windows,radius_priority,1.0,150.0,8000.0,1.0,True,True,True,80,-0.12312988158851404,-0.01026241893798137,6.156494079425702,0.0,0.0,1,0.9945828898651019,0.7720677359553495,0.8731402691635667,0.8725137819922048,1,False,False,0.9999999999999954,307,success,lock,damped_to_low_radial_motion,-8.943470598958333e-08,4.968593865876136e-08,-5.836793328417515e-15
phase36a_transfer_family_visualization,grazing_corridor,representative_near_crossing,near-target loiter with soft crossing windows,radius_priority,0.98,150.0,10000.0,1.0,False,False,False,,,,,149379328520.56055,0.019917243802741406,99999,0.8202715784115718,0.39324582866942254,8.987651485965651,7.96689724616401,0,False,False,1.0077820372607038,100000,max_steps,family_grazing_commit,damped_to_low_radial_motion,-0.019917243115410026,0.01746399614842087,-1.0168563565766289
phase36a_transfer_family_visualization,grazing_corridor,representative_over_conservative_transfer,near-target loiter with soft crossing windows,radius_priority,1.02,175.0,8000.0,1.0,False,False,False,,,,,149631537264.12305,0.019950871635216406,7028,0.8196223705712864,0.517107282440428,9.015963033557162,7.993152662402396,0,False,False,1.0077824325757452,100000,max_steps,family_grazing_commit,damped_to_low_radial_motion,0.01998288165600599,0.02011815326882979,-1.011967443603932
phase36a_transfer_family_visualization,two_stage_transfer,representative_crossing,geometry-shaping stage then crossing-commit stage,radius_priority,1.0,150.0,8000.0,1.0,False,False,False,,,,,0.0,0.0,1,0.7757102350591614,0.7720677359553495,14.685127462821438,11.597357107453117,0,True,False,1.9078656659231652,77,overspeed,family_two_stage_shape,same_direction_weakening,1.344482340625e-06,0.18017133671291646,-2.8993392768632793
phase36a_transfer_family_visualization,two_stage_transfer,representative_near_crossing,geometry-shaping stage then crossing-commit stage,radius_priority,0.98,150.0,10000.0,1.0,False,False,False,,,,,149996263481.51855,0.019999501797535808,22,0.7907253765034392,0.3852959451526325,19.593079889168127,17.528636447159755,0,True,False,1.9210432212330215,22,overspeed,family_two_stage_shape,same_direction_weakening,-0.019999482131973827,0.35057272894319513,0.8887842173119367
phase36a_transfer_family_visualization,two_stage_transfer,representative_over_conservative_transfer,geometry-shaping stage then crossing-commit stage,radius_priority,1.02,175.0,8000.0,1.0,False,False,False,,,,,150000000000.0,0.02,1,0.6984535440274389,0.6984535440274389,14.259101798080142,11.70588551439644,0,True,False,1.9267093867854432,79,overspeed,family_two_stage_shape,same_direction_weakening,0.020000235467036328,0.030283470170720576,-2.92647137859911
