controller_name,r0_over_target,initial_velocity_angle_deg,thrust_scale,target_radius_scale,success,capture_entered,lock_entered,crossing_occurs,crossing_vr,crossing_vt_error,crossing_vr_ratio,crossing_vt_error_ratio,crossing_radius_error,recoverable_crossing,crossing_score,recoverability_score,near_miss,radius_crossings_total,first_crossing_step,minimum_abs_radius_error,final_radius_error,tail_mean_abs_vr,steps,terminated,truncated,termination_reason,dominant_transfer_stage,transfer_stage_counts_json,intercept_classification_counts_json,initial_energy_error_ratio,final_energy_error_ratio,initial_angular_momentum_error_ratio,final_angular_momentum_error_ratio,mean_energy_error_ratio,mean_angular_momentum_error_ratio,max_speed_ratio,overspeed,turning_point_count,burn_a_steps,burn_b_steps,coast_arc_steps,safe_coast_steps,burn_a_count,burn_b_count,insertion_attempts,insertion_windows,successful_insertion_windows,handoff_ready_count,handoff_entered,handoff_rate,predicted_crossing_step,burn_b_solver_evals,burn_b_solver_score,insertion_window_conversion_rate,chosen_burn_timing,chosen_burn_angle_deg,chosen_burn_magnitude,chosen_burn_duration,chosen_insertion_mode,pre_burn_state_json,post_burn_state_json,basin_score,handoff_success
baseline_soft_linear_3e4,1.05,165.0,12000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,374865589284.35547,374865609250.27637,213.80999930514116,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",{},0.04761904761904765,0.8604549772793049,-0.057352915661626036,-0.796517044517119,,,0.5808479124408409,False,0,0,0,0,0,0,0,0,0,0,0,False,0.0,,0,,0.0,,,,,,{},{},,False
baseline_soft_linear_3e4,0.98,170.0,12000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,149837578438.94922,149837578438.94922,147.0267319398061,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",{},0.020408163265306496,1.0097853778321344,-0.005193942399973062,-0.826751467391466,,,0.6151003870707793,False,0,0,0,0,0,0,0,0,0,0,0,False,0.0,,0,,0.0,,,,,,{},{},,False
baseline_soft_linear_3e4,1.0,170.0,12000.0,1.0,True,True,True,True,-59.11783526958399,-2644.140708489538,-0.014051701041181388,-0.628485034627588,-4974.4609375,False,0.5196500696147496,0.011302579212861713,False,1,19,567.279296875,2772.2412109375,6.334229874531584,231,True,False,success,soft_window,"{""soft_window"": 19}",{},2.104654818683916e-16,7.392509550470052e-10,-0.01519224698779198,5.10702591327572e-15,,,1.0000000000000049,False,0,0,0,0,0,0,0,0,0,0,0,True,0.0,,0,,0.0,,,,,,{},{},,True
baseline_soft_linear_3e4,1.02,170.0,12000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,150000043475.667,150015036432.5996,144.53846555689043,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",{},0.01960784313725499,0.9223856367917704,-0.024895023050582443,-0.8070407520685968,,,0.5950953862751378,False,0,0,0,0,0,0,0,0,0,0,0,False,0.0,,0,,0.0,,,,,,{},{},,False
baseline_soft_linear_3e4,1.05,170.0,12000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,374911539824.58594,374911553208.7783,143.00356261341577,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",{},0.047619047619047436,0.8606262240938488,-0.038926041995105076,-0.7929972588185307,,,0.5808479167743612,False,0,0,0,0,0,0,0,0,0,0,0,False,0.0,,0,,0.0,,,,,,{},{},,False
baseline_soft_linear_3e4,0.98,175.0,12000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,149916705985.81152,149916705985.81152,75.24537240784004,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",{},0.020408163265306287,1.0099848286895707,0.006308609146797872,-0.8251992211726191,,,0.6151003921226748,False,0,0,0,0,0,0,0,0,0,0,0,False,0.0,,0,,0.0,,,,,,{},{},,False
baseline_soft_linear_3e4,1.0,175.0,12000.0,1.0,True,True,True,True,-49.59440466036998,-3805.3841505526866,-0.011788079594339244,-0.9045006500420295,-4449.8916015625,False,0.7377462161401496,0.02054370229463622,False,1,25,509.548828125,2621.802734375,2.228509408401243,238,True,False,success,soft_window,"{""soft_window"": 25}",{},2.104654818683916e-16,6.99134129548071e-10,-0.003805301908254566,4.884981308350689e-15,,,1.0000000000000049,False,0,0,0,0,0,0,0,0,0,0,0,True,0.0,,0,,0.0,,,,,,{},{},,True
baseline_soft_linear_3e4,1.02,175.0,12000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,150000021820.85938,150008410722.51758,72.69278992503675,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",{},0.019607843137254777,0.9225698387725687,-0.013620267358068205,-0.8052697139551094,,,0.5950953909385752,False,0,0,0,0,0,0,0,0,0,0,0,False,0.0,,0,,0.0,,,,,,{},{},,False
baseline_soft_linear_3e4,1.05,175.0,12000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,374956606897.5137,374956613568.1035,71.11978586582853,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",{},0.04761904761904765,0.860800100431001,-0.02781352146132343,-0.7910728547094577,,,0.5808479211751234,False,0,0,0,0,0,0,0,0,0,0,0,False,0.0,,0,,0.0,,,,,,{},{},,False
phase20_predictive_planner,0.98,150.0,8000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,84468724217.98242,84468724217.98242,6551.05755757195,100000,False,True,max_steps,coast,"{""coast"": 99960, ""predictive_descent"": 40}",{},0.020408163265306076,2.153561336230181,-0.12518223472029355,-0.13291396894614815,,,1.7872808345631124,False,0,0,0,99960,0,0,0,0,0,0,0,False,0.0,,0,,0.0,,,,,,{},{},,False
phase20_predictive_planner,1.0,150.0,8000.0,1.0,True,True,True,True,-38.530447607905636,-3195.2769906896274,-0.009158290866034995,-0.7594844569695679,-2413.50390625,False,0.6185775149366969,0.021872411989640565,False,1,128,1076.5029296875,2220.5693359375,28.016402607368157,349,True,False,success,phase76_handoff,"{""phase76_handoff"": 128}",{},0.0,5.921338994971445e-10,-0.1339745962155613,7.549516567451064e-15,,,1.0000000000000073,False,0,0,0,0,0,0,0,0,0,0,0,True,0.0,,0,,0.0,,,,,,{},{},,True
phase20_predictive_planner,1.02,150.0,8000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,82108653858.16895,82108653858.16895,6803.3750686506155,100000,False,True,max_steps,coast,"{""coast"": 99880, ""predictive_descent"": 120}",{},0.01960784313725499,1.6517583238054399,-0.14250707428745557,-0.8788575926381252,,,1.8257690931976658,False,0,0,0,99880,0,0,0,0,0,0,0,False,0.0,,0,,0.0,,,,,,{},{},,False
phase20_predictive_planner,1.05,150.0,8000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,306815014006.5283,306815014006.5283,6832.157363386223,100000,False,True,max_steps,coast,"{""coast"": 99880, ""predictive_descent"": 120}",{},0.04761904761904765,1.7279858954899665,-0.15484574527148331,-0.8913306026987632,,,1.8263186131125941,False,0,0,0,99880,0,0,0,0,0,0,0,False,0.0,,0,,0.0,,,,,,{},{},,False
phase20_predictive_planner,0.98,165.0,8000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,72660148719.83887,72660148719.83887,7724.851567285684,100000,False,True,max_steps,coast,"{""coast"": 99920, ""predictive_descent"": 80}",{},0.020408163265306076,2.3685560288769216,-0.024267568725401145,-0.8684343635167313,,,1.8464455605206895,False,0,0,0,99920,0,0,0,0,0,0,0,False,0.0,,0,,0.0,,,,,,{},{},,False
