controller_name,post_cross_mode,r0_over_target,initial_velocity_angle_deg,thrust_scale,target_radius_scale,crossing_occurs,crossing_step,crossing_sync,crossing_distance_to_recoverable,crossing_vr_ratio,crossing_vt_error_ratio,best_post_cross_step,best_post_cross_sync,best_distance_to_recoverable,best_post_cross_r_error_ratio,best_post_cross_vr_ratio,best_post_cross_vt_error_ratio,recoverable_state,recoverable_crossing,capture_entered,lock_entered,success,post_cross_duration,actual_post_cross_steps,control_smoothness,mean_post_cross_control_norm,max_post_cross_control_norm,radius_crossings_total,minimum_abs_radius_error,tail_mean_abs_vr,steps,terminated,truncated,termination_reason,dominant_stage,stage_counts_json,max_speed_ratio,overspeed,near_miss
phase34_post_cross_sync,radius_priority,1.0,165.0,8000.0,1.0,True,893,3.199443523809586,3.2157375309180525,-0.006466189162337594,-0.7998608809523965,978,0.9788373958735348,0.978837398204446,-5.932268229166667e-10,1.3510158878472875e-06,-0.2447093489683837,True,True,True,True,True,360,85,2.060041100033739e-06,0.02492811272238349,0.025999999999999995,1,547.212890625,13.766839144777606,1194,True,False,success,phase76_handoff,"{""capture"": 11, ""lock"": 205, ""phase76_handoff"": 893, ""post_cross_radius_priority"": 85}",1.0000000000000073,False,False
phase34_post_cross_sync,radius_priority,1.02,165.0,8000.0,1.0,False,,,,,,100000,12.403800504358593,15.143989237594258,0.02140060030893216,0.24807601008717187,-0.3715198601031878,False,False,False,False,False,360,0,0.0,0.0,0.0,0,150000107699.07715,1044.0342145911768,100000,False,True,max_steps,coast_arc,"{""burn_a"": 18, ""coast_arc"": 99982}",0.9725342061045669,False,False
phase34_post_cross_sync,radius_priority,0.98,170.0,8000.0,1.0,False,,,,,,100000,7.9763049828761465,8.723776303341303,-0.019940762457190366,0.014300075628899494,-0.8650000507010032,False,False,False,False,False,360,0,0.0,0.0,0.0,0,149555718428.92773,44.32418896683088,100000,False,True,max_steps,phase76_handoff,"{""burn_a"": 18, ""burn_b"": 46, ""coast_arc"": 1, ""phase76_handoff"": 99935}",1.3330339359186443,False,False
phase34_post_cross_sync,radius_priority,1.0,170.0,8000.0,1.0,True,182,2.9687569948066055,3.0397377531121297,-0.013061202295072412,-0.7421892487016514,262,0.9809099199193229,0.9809099391130417,-2.2356334635416666e-09,3.88091840772968e-06,-0.24522747997983071,True,True,True,True,True,360,80,3.7212122714944925e-06,0.02396653900365045,0.026,1,2685.416015625,13.709024322696402,478,True,False,success,lock,"{""capture"": 11, ""lock"": 205, ""phase76_handoff"": 182, ""post_cross_radius_priority"": 80}",1.000000000000007,False,False
phase34_post_cross_sync,radius_priority,1.02,170.0,8000.0,1.0,False,,,,,,100000,8.374839464612135,11.858075118682493,0.02093709866153034,0.16551380303161406,-0.3525764081481217,False,False,False,False,False,360,0,0.0,0.0,0.0,0,150000072257.99902,696.6677659893638,100000,False,True,max_steps,coast_arc,"{""burn_a"": 18, ""coast_arc"": 99982}",0.9722241532219635,False,False
phase34_post_cross_sync,radius_priority,0.98,175.0,8000.0,1.0,False,,,,,,100000,7.97634399087901,8.72381196822559,-0.019940859977197526,0.014300075479715652,-0.8650000505531211,False,False,False,False,False,360,0,0.0,0.0,0.0,0,149556449828.98145,44.324188966674576,100000,False,True,max_steps,phase76_handoff,"{""burn_a"": 18, ""burn_b"": 46, ""coast_arc"": 1, ""phase76_handoff"": 99935}",1.3361986501889813,False,False
phase34_post_cross_sync,radius_priority,1.0,175.0,8000.0,1.0,True,4458,3.9336938343747194,3.9337006255506934,-0.00014619009574502308,-0.9834234585936799,4577,0.9786707005747008,0.9786707005747938,-2.3434895833333332e-12,-8.527846499047967e-09,-0.2446676751436752,True,True,True,True,True,360,119,2.267043210344027e-06,0.024484146223922018,0.026,5,0.08203125,2.5159852250465766,4793,True,False,success,phase76_handoff,"{""capture"": 11, ""lock"": 205, ""phase76_handoff"": 4458, ""post_cross_radius_priority"": 119}",1.0000000000000075,False,False
phase34_post_cross_sync,radius_priority,1.02,175.0,8000.0,1.0,False,,,,,,100000,8.186504103227188,9.248438132055265,0.02046626025806797,0.08161871712335189,-0.34102061779164794,False,False,False,False,False,360,0,0.0,0.0,0.0,0,150000036266.99902,343.6989150753124,100000,False,True,max_steps,coast_arc,"{""burn_a"": 18, ""coast_arc"": 99982}",0.9720374749698517,False,False
phase34_post_cross_sync,radius_priority,0.98,150.0,10000.0,1.0,False,,,,,,100000,7.970254077744948,8.647731251747494,-0.01992563519436237,0.006674562441768901,-0.8346755087745041,False,False,False,False,False,360,0,0.0,0.0,0.0,0,149442263957.71777,55.396047662963205,100000,False,True,max_steps,phase76_handoff,"{""burn_a"": 18, ""burn_b"": 46, ""coast_arc"": 1, ""phase76_handoff"": 99935}",1.374876627303795,False,False
phase34_post_cross_sync,radius_priority,1.0,150.0,10000.0,1.0,True,868,3.0938141524559413,3.3184483917248695,-0.024003447407442688,-0.7734535381139853,941,0.9834730386043894,0.9834730386867494,-5.575844661458333e-09,2.506179000653893e-07,-0.24586825965109735,True,True,True,True,True,360,73,5.731684904496907e-06,0.022720860691249768,0.025999999999999995,1,2310.8662109375,13.580099652887858,1153,True,False,success,phase76_handoff,"{""capture"": 9, ""lock"": 203, ""phase76_handoff"": 868, ""post_cross_radius_priority"": 73}",1.000000000000005,False,False
